S,n_low,L_low,n_up,L_up,wl,wl_air
3,2,S,9,P,2696.92,2696.12
3,2,S,10,P,2677.92,2677.13
3,2,S,11,P,2664.07,2663.28
3,2,S,12,P,2653.65,2652.86
3,2,S,13,P,2645.60,2644.81
3,2,S,14,P,2639.26,2638.47
3,2,S,15,P,2634.17,2633.39
3,2,S,16,P,2630.03,2629.24
3,2,S,17,P,2626.60,2625.82
3,2,S,18,P,2623.74,2622.96
3,2,S,19,P,2621.33,2620.55
3,2,S,20,P,2619.27,2618.49
3,2,S,21,P,2617.51,2616.73
3,2,S,22,P,2615.98,2615.20
3,2,S,23,P,2614.65,2613.87
3,2,S,24,P,2613.48,2612.70
3,2,S,25,P,2612.45,2611.67
3,3,S,3,P,42958.83,42947.12
3,3,S,4,P,12530.91,12527.48
3,3,S,5,P,9466.18,9463.58
3,3,S,6,P,8364.03,8361.73
3,3,S,7,P,7818.29,7816.14
3,3,S,8,P,7501.92,7499.85
3,3,S,9,P,7300.05,7298.04
3,3,S,10,P,7162.53,7160.56
3,3,S,11,P,7064.27,7062.33
3,3,S,12,P,6991.45,6989.52
3,3,S,13,P,6935.89,6933.97
3,3,S,14,P,6892.48,6890.58
3,3,S,15,P,6857.88,6855.99
3,3,S,16,P,6829.86,6827.97
3,3,S,17,P,6806.82,6804.94
3,3,S,18,P,6787.65,6785.77
3,3,S,19,P,6771.52,6769.65
3,3,S,20,P,6757.81,6755.95
3,3,S,21,P,6746.07,6744.21
3,3,S,22,P,6735.93,6734.07
3,3,S,23,P,6727.11,6725.25
3,3,S,24,P,6719.39,6717.54
3,3,S,25,P,6712.60,6710.75
3,4,S,4,P,1.090e+05,1.090e+05
3,4,S,5,P,28550.20,28542.41
3,4,S,6,P,20430.54,20424.96
3,4,S,7,P,17454.43,17449.66
3,4,S,8,P,15952.52,15948.17
3,4,S,9,P,15066.55,15062.43
3,4,S,10,P,14492.29,14488.33
3,4,S,11,P,14095.60,14091.75
3,4,S,12,P,13808.61,13804.83
3,4,S,13,P,13593.52,13589.81
3,4,S,14,P,13427.77,13424.10
3,4,S,15,P,13297.10,13293.47
3,4,S,16,P,13192.14,13188.53
3,4,S,17,P,13106.46,13102.87
3,4,S,18,P,13035.56,13031.99
3,4,S,19,P,12976.19,12972.64
3,4,S,20,P,12925.96,12922.43
3,4,S,21,P,12883.06,12879.54
3,4,S,22,P,12846.13,12842.62
3,4,S,23,P,12814.10,12810.59
3,4,S,24,P,12786.12,12782.63
3,4,S,25,P,12761.55,12758.06
3,5,S,5,P,2.200e+05,2.200e+05
3,5,S,6,P,54178.33,54163.57
3,5,S,7,P,37308.89,37298.71
3,5,S,8,P,31058.58,31050.11
3,5,S,9,P,27868.03,27860.43
3,5,S,10,P,25964.97,25957.89
3,5,S,11,P,24718.61,24711.87
3,5,S,12,P,23849.38,23842.87
3,5,S,13,P,23214.97,23208.63
3,5,S,14,P,22735.68,22729.47
3,5,S,15,P,22363.58,22357.48
3,5,S,16,P,22068.25,22062.23
3,5,S,17,P,21829.53,21823.58
3,5,S,18,P,21633.56,21627.66
3,5,S,19,P,21470.55,21464.69
3,5,S,20,P,21333.37,21327.55
3,5,S,21,P,21216.78,21210.99
3,5,S,22,P,21116.80,21111.03
3,5,S,23,P,21030.37,21024.63
3,5,S,24,P,20955.13,20949.41
3,5,S,25,P,20889.21,20883.51
3,2,P,3,S,7067.20,7065.25
