S,n_low,L_low,n_up,L_up,wl,wl_air
3,3,D,17,F,8453.49,8451.17
3,3,D,18,P,8426.10,8423.79
3,3,D,18,F,8424.28,8421.97
3,3,D,19,P,8401.26,8398.95
3,3,D,19,F,8399.72,8397.41
3,3,D,20,P,8380.17,8377.87
3,3,D,20,F,8378.86,8376.56
3,3,D,21,P,8362.12,8359.83
3,3,D,21,F,8360.99,8358.70
3,3,D,22,P,8346.55,8344.25
3,3,D,22,F,8345.57,8343.28
3,3,D,23,P,8333.01,8330.72
3,3,D,23,F,8332.16,8329.87
3,3,D,24,P,8321.17,8318.89
3,3,D,24,F,8320.42,8318.14
3,3,D,25,P,8310.76,8308.47
3,3,D,25,F,8310.10,8307.81
3,4,D,4,F,1.350e+07,1.350e+07
3,4,D,5,P,42440.67,42429.10
3,4,D,5,F,40377.35,40366.34
3,4,D,6,P,26679.03,26671.75
3,4,D,6,F,26192.13,26184.99
3,4,D,7,P,21820.57,21814.61
3,4,D,7,F,21613.71,21607.82
3,4,D,8,P,19522.75,19517.42
3,4,D,8,F,19411.47,19406.17
3,4,D,9,P,18212.12,18207.15
3,4,D,9,F,18144.01,18139.06
3,4,D,10,P,17379.67,17374.93
3,4,D,10,F,17334.43,17329.69
3,4,D,11,P,16812.26,16807.67
3,4,D,11,F,16780.45,16775.87
3,4,D,12,P,16405.58,16401.10
3,4,D,12,F,16382.25,16377.77
3,4,D,13,P,16102.87,16098.48
3,4,D,13,F,16085.20,16080.80
3,4,D,14,P,15870.80,15866.46
3,4,D,14,F,15857.05,15852.72
3,4,D,15,P,15688.58,15684.30
3,4,D,15,F,15677.66,15673.38
3,4,D,16,P,15542.67,15538.42
3,4,D,16,F,15533.84,15529.59
3,4,D,17,P,15423.87,15419.66
3,4,D,17,F,15416.62,15412.41
3,4,D,18,P,15325.78,15321.59
3,4,D,18,F,15319.75,15315.57
3,4,D,19,P,15243.79,15239.62
3,4,D,19,F,15238.72,15234.55
3,4,D,20,P,15174.51,15170.37
3,4,D,20,F,15170.21,15166.06
3,4,D,21,P,15115.43,15111.30
3,4,D,21,F,15111.74,15107.61
3,4,D,22,P,15064.61,15060.50
3,4,D,22,F,15061.42,15057.31
3,4,D,23,P,15020.58,15016.47
3,4,D,23,F,15017.80,15013.70
3,4,D,24,P,14982.15,14978.06
3,4,D,24,F,14979.73,14975.63
3,4,D,25,P,14948.43,14944.34
3,4,D,25,F,14946.29,14942.20
3,5,D,5,F,2.520e+07,2.520e+07
3,5,D,6,P,78394.84,78373.48
3,5,D,6,F,74334.39,74314.13
3,5,D,7,P,47389.67,47376.75
3,5,D,7,F,46424.75,46412.09
3,5,D,8,P,37742.11,37731.82
3,5,D,8,F,37328.39,37318.22
3,5,D,9,P,33132.56,33123.52
3,5,D,9,F,32907.81,32898.84
3,5,D,10,P,30476.84,30468.53
3,5,D,10,F,30337.98,30329.70
3,5,D,11,P,28773.89,28766.04
3,5,D,11,F,28680.85,28673.03
3,5,D,12,P,27602.81,27595.28
3,5,D,12,F,27536.83,27529.32
3,5,D,13,P,26756.54,26749.25
3,5,D,13,F,26707.77,26700.49
3,5,D,14,P,26121.86,26114.73
3,5,D,14,F,26084.64,26077.52
3,5,D,15,P,25631.86,25624.87
3,5,D,15,F,25602.72,25595.74
3,5,D,16,P,25244.66,25237.77
3,5,D,16,F,25221.37,25214.49
3,5,D,17,P,24932.76,24925.96
3,5,D,17,F,24913.82,24907.03
3,5,D,18,P,24677.44,24670.71
3,5,D,18,F,24661.81,24655.08
3,5,D,19,P,24465.54,24458.87
3,5,D,19,F,24452.48,24445.81
3,5,D,20,P,24287.59,24280.96
3,5,D,20,F,24276.56,24269.93
3,5,D,21,P,24136.58,24130.00
3,5,D,21,F,24127.17,24120.59
3,5,D,22,P,24007.27,24000.72
3,5,D,22,F,23999.17,23992.63
3,5,D,23,P,23895.63,23889.11
3,5,D,23,F,23888.61,23882.09
3,5,D,24,P,23798.54,23792.04
3,5,D,24,F,23792.41,23785.92
3,5,D,25,P,23713.55,23707.08
3,5,D,25,F,23708.16,23701.70
3,4,F,5,D,40563.46,40552.40
3,4,F,5,G,40490.15,40479.11
3,4,F,6,D,26259.18,26252.02
3,4,F,6,G,26240.91,26233.75
3,4,F,7,D,21655.37,21649.46
3,4,F,7,G,21647.42,21641.51
3,4,F,8,D,19443.22,19437.91
3,4,F,8,G,19438.88,19433.57
3,4,F,9,D,18170.76,18165.80
3,4,F,9,G,18168.08,18163.12
3,4,F,10,D,17358.26,17353.52
3,4,F,10,G,17356.47,17351.73
3,4,F,11,D,16802.41,16797.82
3,4,F,11,G,16801.14,16796.56
3,4,F,12,D,16402.94,16398.46
3,4,F,12,G,16402.00,16397.53
3,4,F,13,D,16104.97,16100.58
3,4,F,13,G,16104.27,16099.87
3,4,F,14,D,15876.15,15871.82
3,4,F,14,G,15875.60,15871.27
3,4,F,15,D,15696.25,15691.96
3,4,F,15,G,15695.81,15691.52
3,4,F,16,D,15552.02,15547.77
3,4,F,16,G,15551.66,15547.41
3,4,F,17,D,15434.48,15430.26
3,4,F,17,G,15434.19,15429.97
3,4,F,18,D,15337.34,15333.15
3,4,F,18,G,15337.10,15332.91
3,4,F,19,D,15256.09,15251.92
3,4,F,19,G,15255.89,15251.72
3,4,F,20,D,15187.40,15183.25
3,4,F,20,G,15187.22,15183.07
3,4,F,21,D,15128.78,15124.64
3,4,F,21,G,15128.63,15124.49
3,4,F,22,D,15078.33,15074.21
3,4,F,22,G,15078.20,15074.08
3,4,F,23,D,15034.60,15030.49
3,4,F,23,G,15034.49,15030.38
3,4,F,24,D,14996.43,14992.33
3,4,F,24,G,14996.33,14992.23
3,4,F,25,D,14962.90,14958.82
3,4,F,25,G,14962.82,14958.73
3,5,F,5,G,2.020e+08,2.020e+08
3,5,F,6,D,74685.32,74664.96
3,5,F,6,G,74537.69,74517.37
3,5,F,7,D,46542.97,46530.28
3,5,F,7,G,46506.26,46493.58
3,5,F,8,D,37397.98,37387.78
3,5,F,8,G,37381.94,37371.74
3,5,F,9,D,32958.64,32949.66
3,5,F,9,G,32949.83,32940.85
3,5,F,10,D,30379.40,30371.11
3,5,F,10,G,30373.91,30365.63
3,5,F,11,D,28716.76,28708.93
3,5,F,11,G,28713.06,28705.23
3,5,F,12,D,27569.26,27561.74
3,5,F,12,G,27566.63,27559.11
3,5,F,13,D,26737.82,26730.52
3,5,F,13,G,26735.86,26728.57
3,5,F,14,D,26112.97,26105.85
3,5,F,14,G,26111.48,26104.36
3,5,F,15,D,25629.79,25622.80
3,5,F,15,G,25628.62,25621.63
3,5,F,16,D,25247.46,25240.57
3,5,F,16,G,25246.52,25239.64
3,5,F,17,D,24939.15,24932.34
3,5,F,17,G,24938.38,24931.58
3,5,F,18,D,24686.52,24679.79
3,5,F,18,G,24685.89,24679.16
3,5,F,19,D,24476.70,24470.02
3,5,F,19,G,24476.17,24469.49
3,5,F,20,D,24300.36,24293.73
3,5,F,20,G,24299.91,24293.28
3,5,F,21,D,24150.63,24144.04
3,5,F,21,G,24150.25,24143.66
3,5,F,22,D,24022.34,24015.78
3,5,F,22,G,24022.01,24015.46
3,5,F,23,D,23911.52,23905.00
3,5,F,23,G,23911.24,23904.72
3,5,F,24,D,23815.11,23808.61
3,5,F,24,G,23814.86,23808.37
3,5,F,25,D,23730.68,23724.21
3,5,F,25,G,23730.46,23723.99
3,5,G,6,F,74581.87,74561.54
3,5,G,6,H,74561.40,74541.08
3,5,G,7,F,46521.15,46508.47
3,5,G,7,H,46516.01,46503.33
3,5,G,8,F,37390.70,37380.50
3,5,G,8,H,37388.43,37378.24
3,5,G,9,F,32956.23,32947.24
3,5,G,9,H,32954.98,32945.99
3,5,G,10,F,30379.12,30370.83
3,5,G,10,H,30378.34,30370.05
3,5,G,11,F,28717.62,28709.79
3,5,G,11,H,28717.05,28709.22
3,5,G,12,F,27570.72,27563.20
3,5,G,12,H,27570.32,27562.80
3,5,G,13,F,26739.65,26732.36
3,5,G,13,H,26739.36,26732.06
3,5,G,14,F,26115.04,26107.92
3,5,G,14,H,26114.82,26107.70
3,5,G,15,F,25632.02,25625.03
3,5,G,15,H,25631.84,25624.85
3,5,G,16,F,25249.80,25242.91
3,5,G,16,H,25249.66,25242.77
3,5,G,17,F,24941.56,24934.76
3,5,G,17,H,24941.45,24934.64
3,5,G,18,F,24688.99,24682.26
3,5,G,18,H,24688.90,24682.16
3,5,G,19,F,24479.20,24472.53
3,5,G,19,H,24479.13,24472.45
3,5,G,20,F,24302.89,24296.26
3,5,G,20,H,24302.83,24296.20
3,5,G,21,F,24153.19,24146.60
3,5,G,21,H,24153.13,24146.54
3,5,G,22,F,24024.91,24018.36
3,5,G,22,H,24024.86,24018.31
3,5,G,23,F,23914.11,23907.59
3,5,G,23,H,23914.07,23907.54
3,5,G,24,F,23817.71,23811.21
3,5,G,24,H,23817.67,23811.17
3,5,G,25,F,23733.28,23726.81
3,5,G,25,H,23733.25,23726.77
