                            |             |   6 |          52056.86    |          
                            |             |     |                      |           
4f12.(3H<4>).6s.6p.(3P*<1>) | (4,1)*      |   4 |          52255.94    |          
                            |             |     |                      |           
4f12.(3H<6>).5d.6p.(3D*<1>) | (6,1)*      |   7 |          52331.33    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   3 |          52361.95    |          
                            |             |     |                      |           
4f12.(3H<4>).6s.6p.(3P*<1>) | (4,1)*      |   5 |          52499.37    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          52661.66    |          
                            |             |     |                      |           
4f12.(3H<6>).5d.6p.(3D*<1>) | (6,1)*      |   6 |          52791.11    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          52907.86    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          53002.40    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          53013.80    |          
                            |             |     |                      |           
4f12.(3F<3>).6s.6p.(3P*<0>) | (3,0)*      |   3 |          53150.82    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   7 |          53304.88    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          53336.89    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   2 |          53411.92    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   3 |          53494.12    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          53576.56    |          
                            |             |     |                      |           
4f13.(2F*<7/2>).7s<1/2>     | (7/2,1/2)*  |   4 |          53673.03    |          
                            |             |   3 |          53733.50    |          
                            |             |     |                      |           
4f12.(3H<6>).5d.6p.(3D*<2>) | (6,2)*      |   7 |          53738.88    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   2 |          53888.54    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   6 |          53896.44    |          
                            |             |     |                      |           
4f12.6s.6p                  | *           |   4 |          53955.64    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   5 |          54317.06    |          
                            |             |     |                      |           
4f12.(3F<3>).6s.6p.(3P*<1>) | (3,1)*      |   3 |          54354.01    |          
                            |             |     |                      |           
4f12.5d.6p                  | *           |   4 |          54419.68    |          
                            |             |     |                      |           
