3d6.(3H).4p       | z 4G*  | 11/2 |            124767.396     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4P*  |  5/2 |            125004.784     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4G*  |  9/2 |            125013.768     |       L19543
                  |        |  7/2 |            125228.339     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4I*  | 13/2 |            125277.540     |       L19543
                  |        | 11/2 |            125297.685     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4G*  |  5/2 |            125370.637     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4I*  |  9/2 |            125423.096     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4H*  |  7/2 |            125692.220     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4P*  |  1/2 |            125916.046     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 2D*  |  5/2 |            125994.037     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4I*  | 15/2 |            126120.343     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4H*  |  9/2 |            126240.912     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4P*  |  3/2 |            126382.587     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 4H*  | 13/2 |            126477.135     |       L19543
                  |        | 11/2 |            126502.620     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4D*  |  7/2 |            126550.738     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | y 4F*  |  5/2 |            126872.32      |       L19543
                  |        |  7/2 |            126893.436     |       L19543
                  |        |  3/2 |            126989.016     |       L19543
                  |        |  9/2 |            126999.576     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 2G*  |  9/2 |            127052.274     |       L19543
                  |        |  7/2 |            127319.380     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 2D*  |  3/2 |            127459.702     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 2I*  | 13/2 |            127674.361     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4D*  |  1/2 |            127996.8       |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | x 4D*  |  7/2 |            128019.360     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4D*  |  5/2 |            128086.920     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 2I*  | 11/2 |            128260.156     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | y 4D*  |  3/2 |            128424.767     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | x 4D*  |  5/2 |            128526.498     |       L19543
                  |        |  3/2 |            128806.458     |       L19543
                  |        |  1/2 |            128938.815     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | y 4G*  | 11/2 |            129557.337     |       L19543
                  |        |  9/2 |            129593.700     |       L19543
                  |        |  7/2 |            129708.327     |       L19543
                  |        |  5/2 |            129748.771     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | z 2F*  |  7/2 |            130185.178     |       L19543
                  |        |  5/2 |            130409.325     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 2P*  |  1/2 |            130724.341     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | y 2G*  |  9/2 |            130803.183     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 2P*  |  3/2 |            130910.399     |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | z 2H*  | 11/2 |            131055.678     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4F*  |  9/2 |            131099.731     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | y 2G*  |  7/2 |            131280.888     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4G*  | 11/2 |            131372.55      |       L19543
                  |        |      |                           |              
3d6.(3H).4p       | y 2H*  |  9/2 |            131539.674     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4G*  |  7/2 |            131582.939     |       L19543
                  |        |  5/2 |            131885.250     |       L19543
                  |        |  9/2 |            131888.762     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4F*  |  7/2 |            132278.596     |       L19543
                  |        |      |                           |              
3d6.(3P2).4p      | z 2S*  |  1/2 |            132316.37      |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | y 4H*  | 13/2 |            132378.322     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4F*  |  5/2 |            132490.517     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | y 4H*  | 11/2 |            132507.840     |       L19543
                  |        |  9/2 |            132588.334     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 4F*  |  3/2 |            132593.64      |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | y 4H*  |  7/2 |            132625.190     |       L19543
                  |        |      |                           |              
3d6.(3F2).4p      | y 2D*  |  5/2 |            133712.582     |       L19543
                  |        |  3/2 |            134081.259     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | y 2H*  | 11/2 |            134697.616     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | z 2H*  |  9/2 |            135405.585     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | y 2F*  |  5/2 |            136130.933     |       L19543
                  |        |  7/2 |            136290.784     |       L19543
                  |        |      |                           |              
3d6.(1I).4p       | z 2K*  | 13/2 |            137364.460     |       L19543
                  |        |      |                           |              
3d6.(3G).4p       | x 2G*  |  9/2 |            137662.847     |       L19543
                  |        |  7/2 |            137813.771     |       L19543
                  |        |      |                           |              
3d6.(1I).4p       | z 2K*  | 15/2 |            138235.929     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | x 4P*  |  5/2 |            138776.33      |       L19543
                  |        |      |                           |              
3d6.(1G2).4p      | w 2H*  |  9/2 |            138922.399     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | x 4P*  |  3/2 |            138972.38      |       L19543
                  |        |      |                           |              
3d6.(1I).4p       | x 2H*  | 11/2 |            139139.075     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | x 4P*  |  1/2 |            139316.85      |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4F*  |  3/2 |            139629.411     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4D*  |  1/2 |            139733.32      |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4F*  |  5/2 |            139745.388     |       L19543
                  |        |  7/2 |            139820.457     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4D*  |  3/2 |            139970.24      |       L19543
                  |        |  5/2 |            140213.664     |       L19543
                  |        |      |                           |              
3d6.(1G2).4p      | x 2F*  |  7/2 |            140227.361     |       L19543
                  |        |      |                           |              
3d6.(1G2).4p      | w 2G*  |  9/2 |            140359.931     |       L19543
                  |        |  7/2 |            140384.526     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4F*  |  9/2 |            140493.847     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | y 2P*  |  3/2 |            140574.345     |       L19543
                  |        |  1/2 |            140596.43      |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 4D*  |  7/2 |            140647.06      |       L19543
                  |        |      |                           |              
3d6.(1G2).4p      | x 2F*  |  5/2 |            140788.54      |       L19543
                  |        |      |                           |              
3d6.(1G2).4p      | w 2H*  | 11/2 |            141192.189     |       L19543
                  |        |      |                           |              
3d6.(1I).4p       | x 2H*  |  9/2 |            141348.901     |       L19543
                  |        |      |                           |              
3d6.(1I).4p       | y 2I*  | 13/2 |            141870.376     |       L19543
                  |        | 11/2 |            141875.432     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | x 2D*  |  3/2 |            142470.623     |       L19543
                  |        |  5/2 |            142678.198     |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 2F*  |  7/2 |            143650.323     |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | x 2P*  |  3/2 |            143677.12      |       L19543
                  |        |      |                           |              
3d6.(3D).4p       | w 2F*  |  5/2 |            144241.34      |       L19543
                  |        |      |                           |              
3d6.(1S2).4p      | w 2P*  |  1/2 |            144424.63      |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | v 2F*  |  5/2 |            145927.22      |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | w 2D*  |  3/2 |            146657.809     |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | v 2F*  |  7/2 |            146817.14      |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | w 2D*  |  5/2 |            146988.62      |       L19543
                  |        |      |                           |              
3d6.(1D2).4p      | x 2P*  |  1/2 |            147474.43      |       L19543
                  |        |      |                           |              
3d6.(1S2).4p      | w 2P*  |  3/2 |            148197.46      |       L19543
                  |        |      |                           |              
3d6.(1F).4p       | v 2G*  |  7/2 |            152007.50      |       L19543
                  |        |  9/2 |            152967.0       |       L19543
                  |        |      |                           |              
3d6.(1F).4p       | v 2D*  |  5/2 |            153040.7       |       L19543
                  |        |  3/2 |            153812.39      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | v 4D*  |  1/2 |            155466.05      |       L19543
                  |        |  3/2 |            155700.88      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 4D*  |  5/2 |            155929.07      |       L19543
                  |        |  7/2 |            156045.99      |       L19543
                  |        |      |                           |              
3d6.(1F).4p       | u 2F*  |  5/2 |            156724.76      |       L19543
                  |        |  7/2 |            156745.22      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | y 2S*  |  1/2 |            159725.4       |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | w 4G*  |  5/2 |            160297.896     |       L19543
                  |        |  7/2 |            160569.228     |       L19543
                  |        |  9/2 |            160843.892     |       L19543
                  |        | 11/2 |            161161.722     |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | y 4S*  |  3/2 |            161809.3       |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | w 4P*  |  1/2 |            162945.06      |       L19543
                  |        |  3/2 |            163213.40      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 2D*  |  3/2 |            163373.94      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 2G*  |  9/2 |            163810.53      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 2D*  |  5/2 |            163851.15      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | w 4P*  |  5/2 |            164092.38      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 2G*  |  7/2 |            164297.733     |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | u 4D*  |  1/2 |            164493.45      |       L19543
                  |        |  3/2 |            164719.34      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | v 4D*  |  5/2 |            164963.07      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | v 4F*  |  3/2 |            165151.92      |       L19543
                  |        |  7/2 |            165199.66      |       L19543
                  |        |  5/2 |            165490.75      |       L19543
                  |        |  9/2 |            165606.05      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | v 4D*  |  7/2 |            165857.56      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | t 2D*  |  3/2 |            166290.68      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | v 2P*  |  1/2 |            166847.0       |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | t 2D*  |  5/2 |            167065.71      |       L19543
                  |        |      |                           |              
3d6.(3P1).4p      | v 2P*  |  3/2 |            167583.25      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6F   | 11/2 |            168013.39      |       L19543
                  |        |      |                           |              
3d6.(3F1).4p      | t 2F*  |  7/2 |            168020.61      |       L19543
                  |        |  5/2 |            168137.71      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6F   |  9/2 |            168212.02      |       L19543
                  |        |  7/2 |            168450.0       |       L19543
                  |        |  5/2 |            168689.27      |       L19543
                  |        |  3/2 |            168886.09      |       L19543
                  |        |  1/2 |            169011.38      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6D   |  9/2 |            169528.30      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6P   |  7/2 |            169591.59      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6D   |  7/2 |            169596.3       |       L19543
                  |        |  5/2 |            169771.17      |       L19543
                  |        |  3/2 |            169996.20      |       L19543
                  |        |      |                           |              
3d6.(1G1).4p      | v 2H*  |  9/2 |            170073.19      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6D   |  1/2 |            170195.2       |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6P   |  5/2 |            170356.1       |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 6D   |  9/2 |            170535.64      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6G   | 13/2 |            170726.23      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6P   |  3/2 |            170805.2       |       L19543
                  |        |      |                           |              
3d6.(1G1).4p      | v 2H*  | 11/2 |            170919.94      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6G   | 11/2 |            171029.8       |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 6D   |  7/2 |            171079.96      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6G   |  9/2 |            171268.97      |       L19543
                  |        |      |                           |              
3d6.(1G1).4p      | s 2F*  |  7/2 |            171403.99      |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 6D   |  5/2 |            171466.63      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6G   |  7/2 |            171528.2       |       L19543
                  |        |  5/2 |            171730.47      |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 6D   |  3/2 |            171741.36      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 6G   |  3/2 |            171826.05      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 4G   |  9/2 |            171942.79      |       L19543
                  |        |      |                           |              
3d6.(1G1).4p      | s 2F*  |  5/2 |            171966.6       |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 4D   |  7/2 |            172377.21      |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 4D   |  7/2 |            172584.13      |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 4D   |  5/2 |            172802.09      |       L19543
                  |        |      |                           |              
3d6.(1G1).4p      | t 2G*  |  9/2 |            172806.56      |       L19543
                  |        |  7/2 |            172939.4       |       L19543
                  |        |      |                           |              
3d6.(5D).4d       | e 4D   |  3/2 |            173133.54      |       L19543
                  |        |      |                           |              
3d6.(5D).5s       | f 4D   |  5/2 |            173195.32      |       L19543
                  |        |  3/2 |            173609.3       |       L19543
                  |        |  1/2 |            173851.09      |       L19543
                  |        |      |                           |              
3d6.(1D1).4p      | s 2D*  |  3/2 |            191026.7       |       L19543
                  |        |  5/2 |            191308.9       |       L19543
                  |        |      |                           |              
3d6.(1D1).4p      | r 2F*  |  5/2 |            194941.9       |       L19543
                  |        |  7/2 |            195703.8       |       L19543
                  |        |      |                           |              
3d6.(1D1).4p      | u 2P*  |  3/2 |            196387.7       |       L19543
                  |        |  1/2 |            196712.6       |       L19543
