4f2.(1I).5d               | 2I        | 11/2 |          36670.57    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4P        |  1/2 |          36683.21    |            
                          |           |      |                      |             
4f2.(3P).5d               |           |  5/2 |          37011.92    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4P        |  3/2 |          37197.64    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4F        |  7/2 |          37919.58    |            
                          |           |      |                      |             
4f2.(1G<4>).6s<1/2>       | (4,1/2)   |  9/2 |          38448.38    |            
                          |           |      |                      |             
4f2.(3P).5d               |           |  1/2 |          38549.90    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4P        |  5/2 |          38694.51    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2K        | 13/2 |          38701.59    |            
                          |           |      |                      |             
4f2.(1G<4>).6s<1/2>       | (4,1/2)   |  7/2 |          38726.50    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2K        | 15/2 |          38785.76    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4F        |  9/2 |          39024.27    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4D        |  3/2 |          39120.49    |            
                          |           |      |                      |             
4f3                       | 2G2*      |  9/2 |          39225.60    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4D        |  1/2 |          39485.48    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2L        | 15/2 |          39725.99    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2H        | 11/2 |          39732.99    |            
                          |           |  9/2 |          39870.17    |            
                          |           |      |                      |             
4f3                       | 2G2*      |  7/2 |          39940.72    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4D        |  5/2 |          40098.66    |            
                          |           |      |                      |             
4f2.(3P).5d               |           |  3/2 |          40205.74    |            
                          |           |      |                      |             
4f2.(3P).5d               | 4D        |  7/2 |          41023.98    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2L        | 17/2 |          41026.87    |            
                          |           |      |                      |             
4f2.(3P).5d               | 2F        |  7/2 |          44679.98    |            
                          |           |  5/2 |          44903.42    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2G        |  9/2 |          45805.95    |            
                          |           |      |                      |             
4f2.(1D<2>).6s<1/2>       | (2,1/2)   |  5/2 |          45807.1     |            
                          |           |  3/2 |          45844.65    |            
                          |           |      |                      |             
4f2.(1I).5d               | 2G        |  7/2 |          46673.78    |            
                          |           |      |                      |             
4f2.(3P).5d               | 2D        |  3/2 |          48401.64    |            
                          |           |  5/2 |          48745.48    |            
                          |           |      |                      |             
4f2.(3P<1>).6s<1/2>       | (1,1/2)   |  3/2 |          50227.79    |            
                          |           |      |                      |             
4f2.(1I<6>).6s<1/2>       | (6,1/2)   | 11/2 |          50647.35    |            
                          |           | 13/2 |          50658.72    |            
                          |           |      |                      |             
4f2.(3P<1>).6s<1/2>       | (1,1/2)   |  1/2 |          50869.3     |            
                          |           |      |                      |             
4f2.(3P<2>).6s<1/2>       | (2,1/2)   |  5/2 |          51312.8     |            
                          |           |  3/2 |          52026.9     |            
                          |           |      |                      |             
4f3                       | 2F1*      |  7/2 |          53092.80    |            
                          |           |      |                      |             
4f2.(3H<4>).6p<1/2>       | (4,1/2)*  |  7/2 |          58158.08    |            
                          |           |  9/2 |          58174.15    |            
                          |           |      |                      |             
4f2.(3H<5>).6p<1/2>       | (5,1/2)*  |  9/2 |          60166.20    |            
                          |           | 11/2 |          60419.73    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  7/2 |          60520.32    |            
                          |           |      |                      |             
4f2.(3H<4>).6p<3/2>       | (4,3/2)*  |  9/2 |          61357.04    |            
                          |           |  7/2 |          61605.66    |            
