6d4                    | 5D     |           0 |              21176.0061      | L18702,L19205
                       |        |             |                              |               
                       | *      |           2 |              21252.60286     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              21539.59257     | L18702,L16199
                       |        |             |                              |               
6d3.(2P).7s            |        |           2 |              21575.03713     |    L18702,u39
                       |        |             |                              |               
6d4                    | 5D     |           1 |              21578.61445     |    L18702,u39
                       |        |             |                              |               
6d3.(2F).7s            | 1F     |           3 |              21594.67329     |    L18702,u39
                       |        |             |                              |               
6d3.(2G).7s            |        |           4 |              21645.85769     |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5P*    |           1 |              21668.957072    | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | 5G*    |           2 |              21738.05013     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              21890.13254     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 3H*    |           4 |              21902.26981     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 5H*    |           7 |              21903.40831     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s.7p            | 5I     |           4 |              22098.18793     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           3 |              22141.60454     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              22163.13360     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              22248.94952     | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | 5G*    |           3 |              22338.99484     |    L18702,u39
                       |        |             |                              |               
                       | *      |           1 |              22396.82500     | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | 3I*    |           5 |              22399.39666     |  L18702,L3552
                       |        |             |                              |               
6d3.(2P).7s            |        |           1 |              22401.20793     |    L18702,u39
                       |        |             |                              |               
                       | *      |           0 |              22465.56965     |    L18702,u39
                       |        |             |                              |               
6d2.7s.7p              | 5P*    |           2 |              22508.04658     | L18702,L17451
                       |        |             |                              |               
6d4                    | 5D     |           2 |              22515.88404     |    L18702,u39
                       |        |             |                              |               
5f.7s2.7p              | 3F     |           3 |              22637.46361     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              22669.88918     | L18702,L17451
                       |        |             |                              |               
                       | *      |           3 |              22855.29928     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              22877.51748     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              22877.58322     |  L18702,L3552
                       |        |             |                              |               
5f.6d.7s.7p            | 5G     |           2 |              22988.52291     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           5 |              23015.15141     | L18702,L16199
                       |        |             |                              |               
5f.7s2.7p              | 3G     |           4 |              23032.986182    |    L18702,u39
                       |        |             |                              |               
                       | *      |           1 |              23049.45870     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              23093.98148     | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | 5G*    |           4 |              23113.54761     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s.7p            | 5G     |           3 |              23201.98997     |  L18702,L1056
                       |        |             |                              |               
5f.6d.7s.7p            | 5I     |           5 |              23277.38774     |  L18702,L1056
                       |        |             |                              |               
5f.6d2.7s              | 3I*    |           6 |              23306.82782     |  L18702,L1056
                       |        |             |                              |               
6d4                    | 5D     |           3 |              23355.37327     |    L18702,u39
                       |        |             |                              |               
                       | *      |           0 |              23410.19884     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              23481.37399     | L18702,L17451
                       |        |             |                              |               
                       | *      |           3 |              23521.04909     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              23603.52066     | L18702,L17451
                       |        |             |                              |               
                       | *      |           5 |              23609.16775     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 5I*    |           8 |              23621.50649     |    L18702,u39
                       |        |             |                              |               
                       | *      |           0 |              23630.6763      |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              23655.13881     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              23741.07467     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              23752.68579     | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5F     |           1 |              23769.87615     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           4 |              23916.89747     |  L18702,L3552
                       |        |             |                              |               
5f.6d.7s.7p            | 5F     |           2 |              23990.41162     |  L18702,L1056
                       |        |             |                              |               
5f.6d.7s.7p            | 5G     |           4 |              24032.22651     |  L18702,L1056
                       |        |             |                              |               
6d2.7s.7p              | 5G*    |           6 |              24084.94271     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              24182.42887     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              24202.56462     | L18702,L17451
                       |        |             |                              |               
6d4                    | 5D     |           4 |              24210.80979     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              24259.77463     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              24274.71139     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           2 |              24307.74711     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              24381.33337     | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           3 |              24399.11564     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           3 |              24421.05861     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              24561.65178     | L18702,L17451
                       |        |             |                              |               
6d3.(2D1).7s           | 3D     |           1 |              24627.87473     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s.7p            | 5F     |           3 |              24664.72970     |    L18702,u39
                       |        |             |                              |               
6d3.(2D1).7s           | 3D     |           2 |              24671.89582     |    L18702,u39
                       |        |             |                              |               
                       | *      |           5 |              24701.04375     | L18702,L17451
                       |        |             |                              |               
                       | *      |           3 |              24769.71573     | L18702,L17451
                       |        |             |                              |               
                       | *      |           1 |              24838.92167     | L18702,L17451
                       |        |             |                              |               
                       | 3I*    |           6 |              24850.30814     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           1 |              24880.22058     | L18702,L16199
                       |        |             |                              |               
6d3.(2D1).7s           | 3D     |           3 |              24915.01853     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              24981.11021     | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | *      |           7 |              25180.04445     |    L18702,u39
                       |        |             |                              |               
                       | *      |           2 |              25306.76154     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              25321.91918     | L18702,L16199
                       |        |             |                              |               
                       | *      |           6 |              25336.49797     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              25355.57481     |    L18702,u39
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           4 |              25405.16237     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           3 |              25442.68552     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              25526.31045     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              25575.04516     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           5 |              25690.47345     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              25703.40095     | L18702,L16199
                       |        |             |                              |               
                       | *      |           5 |              25753.93805     | L18702,L16199
                       |        |             |                              |               
                       | *      |      1 or 2 |              25806.5369      |        L18702
                       |        |             |                              |               
                       | *      |           1 |              25809.30337     | L18702,L16199
                       |        |             |                              |               
                       | *      |           4 |              25877.50128     | L18702,L16199
                       |        |             |                              |               
                       |        |           2 |              25890.39529     | L18702,L16199
                       |        |             |                              |               
6d4                    | 3H     |           4 |              25923.02352     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              26036.34930     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              26048.54211     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              26096.98491     | L18702,L16199
                       |        |             |                              |               
                       |        |           1 |              26111.53886     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              26113.26894     | L18702,L17451
                       |        |             |                              |               
5f.6d2.7s              | 3H*    |           6 |              26232.29174     |    L18702,u39
                       |        |             |                              |               
                       |        |           4 |              26255.58209     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 3D*    |           1 |              26287.04940     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              26363.10178     | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           5 |              26380.54194     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              26384.92556     | L18702,L17451
                       |        |             |                              |               
6d4                    |        |           0 |              26479.8580      |    L18702,u39
                       |        |             |                              |               
6d3.(2D1).7s           | 1D     |           2 |              26504.25448     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              26508.02820     | L18702,L17451
                       |        |             |                              |               
                       | *      |           5 |              26645.40609     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           2 |              26651.82788     | L18702,L16199
                       |        |             |                              |               
5f.6d2.7s              | 5G*    |           6 |              26723.66908     |    L18702,u39
                       |        |             |                              |               
                       | *      |           4 |              26790.42715     | L18702,L17451
                       |        |             |                              |               
                       |        |           3 |              26796.07511     | L18702,L16199
                       |        |             |                              |               
6d2.7s.7p              | 3G*    |           3 |              26878.16179     | L18702,L16199
                       |        |             |                              |               
                       | *      |           0 |              26882.5383      |  L18702,L3552
                       |        |             |                              |               
                       | *      |           5 |              26953.26182     |    L18702,u39
                       |        |             |                              |               
                       |        |           4 |              26971.46312     | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              26995.77389     | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5I     |           6 |              26997.24767     |  L18702,L1056
                       |        |             |                              |               
                       |        |           3 |              27044.22163     |  L18702,L3552
                       |        |             |                              |               
                       | *      |           2 |              27061.41472     | L18702,L16199
                       |        |             |                              |               
                       | *      |           6 |              27084.47278     |    L18702,u39
                       |        |             |                              |               
                       | *      |           1 |              27087.98061     | L18702,L16199
                       |        |             |                              |               
5f.6d.7s.7p            | 5G     |           5 |              27191.36326     |  L18702,L1056
                       |        |             |                              |               
                       | *      |           3 |              27260.16801     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              27266.02670     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              27297.5790      | L18702,L16199
                       |        |             |                              |               
                       | *      |           3 |              27317.39056     | L18702,L17451
                       |        |             |                              |               
5f.6d.7s.7p            | 5H     |           3 |              27343.74101     |    L18702,u39
                       |        |             |                              |               
                       | *      |           2 |              27447.74347     | L18702,L16199
                       |        |             |                              |               
5f2.7s2                | 3H     |           4 |              27495.58911     |    L18702,u39
                       |        |             |                              |               
                       |        |           4 |              27521.52753     | L18702,L16199
                       |        |             |                              |               
                       |        |           2 |              27566.85363     | L18702,L16199
                       |        |             |                              |               
6d4                    | 3H     |           5 |              27591.80212     |    L18702,u39
                       |        |             |                              |               
6d4                    | 3G     |           3 |              27612.27129     |    L18702,u39
                       |        |             |                              |               
                       | *      |           3 |              27670.96178     | L18702,L16199
                       |        |             |                              |               
                       | *      |           2 |              27674.32522     | L18702,L17451
                       |        |             |                              |               
                       | *      |           2 |              27784.36557     | L18702,L17451
                       |        |             |                              |               
                       | *      |           5 |              27852.74095     | L18702,L17451
                       |        |             |                              |               
                       | *      |           4 |              27948.60753     | L18702,L16199
                       |        |             |                              |               
6d4                    | 3H     |           6 |              27971.66875     |    L18702,u39
                       |        |             |                              |               
                       |        |           3 |              27980.68586     | L18702,L16199
                       |        |             |                              |               
                       | *      |           1 |              28024.68756     | L18702,L17451
