4d10                | 1S     |   0 |                  0     |    L11384
                    |        |     |                        |           
4d9.5d              | 1G     |   4 |             927704     |     L9885
                    |        |     |                        |           
4d9.5d              | 1D     |   2 |             929055     |     L9885
                    |        |     |                        |           
4d9.5d              | 3F     |   2 |             930209     |     L9885
                    |        |   3 |             932529     |     L9885
                    |        |     |                        |           
4d9.5d              | 1S     |   0 |             966183     |     L9885
                    |        |     |                        |           
4d9.6p              | 3P*    |   1 |            1115972     |    L11384
                    |        |     |                        |           
4d9.6p              | 1P*    |   1 |            1126012     |    L11384
                    |        |     |                        |           
4d9.5f              | 3P*    |   0 |           (1130216)    |     L9885
                    |        |   1 |            1131646     |     L9885
                    |        |   2 |           (1134446)    |     L9885
                    |        |     |                        |           
4d9.5f              | 3H*    |   6 |            1135392     |     L9885
                    |        |   5 |            1135844     |     L9885
                    |        |     |                        |           
4d9.6p              | 3D*    |   1 |            1135938     |    L11384
                    |        |     |                        |           
4d9.5f              | 1D*    |   2 |            1138029     |     L9885
                    |        |     |                        |           
4d9.5f              | 3F*    |   3 |            1138369     |     L9885
                    |        |   4 |            1139419     |     L9885
                    |        |     |                        |           
4d9.5f              | 1G*    |   4 |            1140121     |     L9885
                    |        |     |                        |           
4d9.5f              | 3G*    |   5 |            1141024     |     L9885
                    |        |     |                        |           
4d9.5f              | 1F*    |   3 |            1141623     |     L9885
                    |        |     |                        |           
4d9.5f              | 3D*    |   1 |            1144990     |     L9885
                    |        |   2 |            1153202     |     L9885
                    |        |     |                        |           
4d9.5f              | 3H*    |   4 |            1154827     |     L9885
                    |        |     |                        |           
4d9.5f              | 1H*    |   5 |            1156138     |     L9885
                    |        |     |                        |           
4d9.5f              | 3F*    |   2 |           (1157038)    |     L9885
                    |        |     |                        |           
4d9.5f              | 3D*    |   3 |            1158274     |     L9885
                    |        |     |                        |           
4d9.5f              | 3G*    |   4 |            1160011     |     L9885
                    |        |   3 |            1160503     |     L9885
                    |        |     |                        |           
4d9.5f              | 1P*    |   1 |            1175751     |     L9885
