                                |            |      |                       |             
                                | *          |  5/2 |          39643.159    |            
                                |            |      |                       |             
                                | *          |  9/2 |          39653.816    |            
                                |            |      |                       |             
                                | *          | 11/2 |          39766.447    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 15/2 |          39804.224    |            
                                |            |      |                       |             
                                | *          |  3/2 |          39833.544    |            
                                |            |      |                       |             
                                | *          |  9/2 |          39845.276    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 13/2 |          39952.447    |            
                                |            |      |                       |             
                                | *          |  7/2 |          39975.403    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 15/2 |          39994.031    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40000.774    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 13/2 |          40121.685    |            
                                |            |      |                       |             
                                | *          |  5/2 |          40123.804    |            
                                |            |      |                       |             
                                | *          | 11/2 |          40124.080    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40303.477    |            
                                |            |      |                       |             
                                | *          |  5/2 |          40368.926    |            
                                |            |      |                       |             
                                | *          | 11/2 |          40435.615    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 19/2 |          40447.910    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40497.076    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 17/2 |          40547.199    |            
                                |            |      |                       |             
                                | *          |  5/2 |          40642.960    |            
                                |            |      |                       |             
                                | *          |  3/2 |          40687.445    |            
                                |            |      |                       |             
                                | *          |  5/2 |          40723.759    |            
                                |            |      |                       |             
                                | *          |  7/2 |          40747.134    |            
                                |            |      |                       |             
                                | *          | 11/2 |          40756.773    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40853.950    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40905.867    |            
                                |            |      |                       |             
                                | *          |  7/2 |          40943.527    |            
                                |            |      |                       |             
                                | *          |  9/2 |          40959.837    |            
                                |            |      |                       |             
                                | *          |  3/2 |          41003.728    |            
                                |            |      |                       |             
                                | *          |  5/2 |          41013.774    |            
                                |            |      |                       |             
                                | *          |  7/2 |          41029.308    |            
                                |            |      |                       |             
                                | *          |  9/2 |          41067.403    |            
                                |            |      |                       |             
                                | *          |  9/2 |          41170.514    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            | 15/2 |          41174.705    |            
                                |            |      |                       |             
                                | *          |  7/2 |          41206.903    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 17/2 |          41244.400    |            
                                |            |      |                       |             
                                | *          |  9/2 |          41268.620    |            
                                |            |      |                       |             
                                | *          | 11/2 |          41415.615    |            
                                |            |      |                       |             
                                | *          |  9/2 |          41486.824    |            
                                |            |      |                       |             
                                | *          |  7/2 |          41505.714    |            
                                |            |      |                       |             
                                | *          |  9/2 |          41617.792    |            
                                |            |      |                       |             
                                | *          |  5/2 |          41682.421    |            
                                |            |      |                       |             
                                | *          |  7/2 |          41876.127    |            
                                |            |      |                       |             
                                | *          |  5/2 |          42064.826    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42149.596    |            
                                |            |      |                       |             
                                | *          |  5/2 |          42177.581    |            
                                |            |      |                       |             
                                | *          |  5/2 |          42264.318    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42414.845    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42461.068    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42527.318    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42626.606    |            
                                |            |      |                       |             
                                | *          |  3/2 |          42650.795    |            
                                |            |      |                       |             
                                | *          |  5/2 |          42747.673    |            
                                |            |      |                       |             
                                | *          |  7/2 |          42769.495    |            
                                |            |      |                       |             
                                | *          |  3/2 |          42862.753    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 11/2 |          42987.453    |            
                                |            |      |                       |             
4f11.(4I*).5d.6p?               |            | 13/2 |          43103.357    |            
                                |            |      |                       |             
                                | *          |  5/2 |          43161.997    |            
                                |            |      |                       |             
4f11.(4I*).6s.6p?               |            |  9/2 |          43212.458    |            
                                |            |      |                       |             
                                | *          |  9/2 |          43221.660    |            
                                |            |      |                       |             
