4f9                   | 6H*       | 15/2 |              0.00     |       L3974
4f8.(7F).5d           | 6F        |  5/2 |          20968.37     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        |  9/2 |          21142.53     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8P        |  7/2 |          21296.02     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6F        |  3/2 |          21640.59     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        |  7/2 |          21641.865    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        |  7/2 |          22067.435    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6D        |  9/2 |          22115.795    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        | 11/2 |          22216.87     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        |  5/2 |          22384.795    |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        |  9/2 |          22475.34     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        |  5/2 |          22774.735    |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        |  3/2 |          22898.245    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6D        |  7/2 |          22913.07     |            
                      |           |      |                       |             
4f8.(7F).5d           | 8P        |  5/2 |          22980.56     |            
                      |           |      |                       |             
4f8.(7F).6s           | 8F        |  1/2 |          23203.55     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6G        |  3/2 |          23234.585    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        |  9/2 |          23239.99     |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        |  7/2 |          23357.625    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        |  7/2 |          24011.27     |            
                      |           |      |                       |             
4f8.(7F).5d           | 6D        |  5/2 |          24189.895    |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        |  5/2 |          24307.445    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6H        |  5/2 |          24592.495    |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        |  3/2 |          24862.595    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6D        |  3/2 |          24924.195    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6P        |  7/2 |          24981.97     |            
                      |           |      |                       |             
4f8.(7F).6s           | 6F        |  1/2 |          25241.355    |            
                      |           |      |                       |             
4f8.(7F).5d           | 6P        |  5/2 |          26632.53     |            
                      |           |  3/2 |          27945.64     |            
                      |           |      |                       |             
4f8.(7F<6>).6p<1/2>   | (6,1/2)*  | 11/2 |          52039.185    |            
                      |           | 13/2 |          52252.635    |            
                      |           |      |                       |             
4f8.(7F<5>).6p<1/2>   | (5,1/2)*  |  9/2 |          53831.125    |            
                      |           | 11/2 |          54632.46     |            
                      |           |      |                       |             
4f8.(7F<4>).6p<1/2>   | (4,1/2)*  |  7/2 |          54965.075    |            
                      |           |      |                       |             
