3p6.3d2                    | 3F     |   2 |               0.0    |       L7185
3p6.3d.7f                  | 3F*    |   4 |          896382      |            
                           |        |     |                      |             
3p6.3d.7f                  | 3G*    |   4 |          897077      |            
                           |        |   5 |          897254      |            
                           |        |     |                      |             
3p6.3d.7f                  | 1H*    |   5 |          898243      |            
                           |        |     |                      |             
3p6.3d.8f                  | 3F*    |   3 |          921694      |            
                           |        |   4 |          923282      |            
                           |        |     |                      |             
3p6.3d.8f                  | 3G*    |   4 |          923716      |            
                           |        |   5 |          923838      |            
                           |        |     |                      |             
3p6.3d.8f                  | 1H*    |   5 |          924479      |            
                           |        |     |                      |             
3p5.(2P*).3d2.(3P).4s.(4P) | 3P*    |   2 |          928684      |            
                           |        |     |                      |             
3p6.3d.9f                  | 3G*    |   4 |          941918      |            
                           |        |   5 |          942022      |            
                           |        |     |                      |             
3p6.3d.9f                  | 1H*    |   5 |          942477      |            
                           |        |     |                      |             
3p6.3d.10f                 | 3G*    |   4 |          954904      |            
                           |        |   5 |          954966      |            
                           |        |     |                      |             
3p6.3d.10f                 | 1H*    |   5 |          955307      |            
