4f3.(4I*).5d2.(3F) (6H*).6s     | 7H*     |   5 |         14677.896    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5L      |   9 |         14687.945    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   7 |         14722.161    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5I*     |   8 |         14732.200    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   8 |         14780.090    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | 5K*     |   5 |         14797.102    |          
                                |         |     |                      |           
4f4.6s.6p                       | 5H*     |   4 |         14801.945    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | 7K*     |   8 |         14931.230    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7K      |  10 |         15073.203    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 3H*     |   5 |         15113.956    |          
                                |         |     |                      |           
4f4.(5I).6s.6p.(3P*)            | 7K*     |   6 |         15220.805    |          
                                |         |     |                      |           
4f4.(5I).6s.6p.(3P*)            | 7I*     |   4 |         15235.585    |          
                                |         |     |                      |           
4f4.6s.6p                       | 7H*     |   2 |         15382.310    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5H*     |   7 |         15396.590    |          
                                |         |     |                      |           
4f4.6s.6p                       | 7H*     |   3 |         15484.689    |          
                                |         |     |                      |           
                                | 5K*     |   5 |         15522.917    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5K      |   8 |         15533.960    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6H*).6s     | 7H*     |   6 |         15598.133    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6G*).6s     | 7G*     |   4 |         15599.985    |          
                                |         |     |                      |           
4f4.(5I).6s.6p.(3P*)            | 7I*     |   5 |         15625.975    |          
                                |         |     |                      |           
                                | *       |   4 |         15718.726    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 5G*     |   6 |         15739.680    |          
                                |         |     |                      |           
                                | *       |   6 |         15780.356    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 7I      |   9 |         15834.515    |          
                                |         |     |                      |           
4f4.6s.6p                       | 7H*     |   4 |         15863.061    |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (4H*).6s     | *       |   3 |         15898.902    |          
                                |         |     |                      |           
                                | *       |   5 |         16028.050    |          
                                |         |     |                      |           
                                | *       |   4 |         16059.191    |          
                                |         |     |                      |           
4f4.(5I).5d.6s.(3D)             | 5L      |  10 |         16092.06     |          
                                |         |     |                      |           
4f3.(4I*).5d2.(3F) (6K*).6s     | *       |   6 |         16128.341    |          
                                |         |     |                      |           
                                | *       |   5 |         16163.811    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | 3G*     |   4 |         16209.840    |          
                                |         |     |                      |           
                                | *       |   5 |         16257.778    |          
                                |         |     |                      |           
4f4.(5I).6s.6p.(3P*)            | 7K*     |   7 |         16282.827    |          
                                |         |     |                      |           
4f3.(4I*).5d.6s2                | *       |   7 |         16387.532    |          
