4d4.(a 3F).5p      | y 4F*  |  3/2 |           63002.58    |              
                   |        |      |                       |               
                   | 2*     |  7/2 |           63012.24    |              
                   |        |      |                       |               
4d4.(3H).5p        | y 4G*  |  5/2 |           63041.47    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 4F*  |  7/2 |           63104.63    |              
                   |        |      |                       |               
4d4.(3H).5p        | y 4G*  | 11/2 |           63207.43    |              
                   |        |      |                       |               
4d4.(3G).5p        | y 4H*  |  7/2 |           63298.23    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 4F*  |  5/2 |           63392.52    |              
                   |        |      |                       |               
4d4.(3G).5p        | y 4H*  |  9/2 |           63497.54    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 4F*  |  9/2 |           63783.10    |              
                   |        |      |                       |               
4d4.(3G).5p        | z 2F*  |  7/2 |           63876.68    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4F*  |  3/2 |           63903.90    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2H*  |  9/2 |           64130.22    |              
                   |        |      |                       |               
4d4.(3G).5p        | y 4H*  | 11/2 |           64139.98    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4F*  |  5/2 |           64167.84    |              
                   |        |  7/2 |           64203.09    |              
                   |        |  9/2 |           64326.40    |              
                   |        |      |                       |               
4d4.(3G).5p        | z 2F*  |  5/2 |           64394.64    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | z 4S*  |  3/2 |           64750.66    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 2G*  |  7/2 |           64852.22    |              
                   |        |      |                       |               
4d4.(3H).5p        | z 2H*  | 11/2 |           65074.71    |              
                   |        |      |                       |               
4d4.(3G).5p        | y 4H*  | 13/2 |           65114.83    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 2F*  |  7/2 |           65260.95    |              
                   |        |  5/2 |           65272.77    |              
                   |        |      |                       |               
4d4.(3G).5p        | y 2H*  |  9/2 |           65282.58    |              
                   |        | 11/2 |           65424.65    |              
                   |        |      |                       |               
4d4.(a 3P).5p      | y 2D*  |  3/2 |           65444.30    |              
                   |        |      |                       |               
4d4.(a 3F).5p      | y 2G*  |  9/2 |           65694.91    |              
                   |        |      |                       |               
4d4.(3G).5p        | x 4G*  |  5/2 |           65732.23    |              
                   |        |      |                       |               
                   | 3*     |  7/2 |           65831.24    |              
