5d5.(2D2).6s        | 3D       |   3 |             138722.83    |       L19450
                    |          |     |                          |              
5d5.(6S).6p         | 7P*      |   2 |             141183.8     |       L19450
                    |          |     |                          |              
5d5.(2G1).6s        | 3G       |   5 |             141924.4     |       L19450
                    |          |     |                          |              
5d5.(6S).6p         | 7P*      |   3 |             143484.29    |       L19450
                    |          |     |                          |              
5d5.(2G1).6s        | 3G       |   4 |             144162.0     |       L19450
                    |          |     |                          |              
5d5.6p              | 157382*  |   2 |             157382.47    |       L19450
                    |          |     |                          |              
5d5.6p              | 159672*  |   3 |             159672.71    |       L19450
                    |          |     |                          |              
5d5.(6S).6p         | 7P*      |   4 |             161069.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 164599*  |   3 |             164599.18    |       L19450
                    |          |     |                          |              
5d5.6p              | 165176*  |   2 |             165176.42    |       L19450
                    |          |     |                          |              
5d5.6p              | 165225*  |   1 |             165225.70    |       L19450
                    |          |     |                          |              
5d5.6p              | 165712*  |   4 |             165712.29    |       L19450
                    |          |     |                          |              
5d5.(6S).6p         | 5P*      |   2 |             167277.52    |       L19450
                    |          |     |                          |              
5d5.6p              | 167611*  |   5 |             167611.32    |       L19450
                    |          |     |                          |              
5d5.6p              | 167845*  |   6 |             167845.16    |       L19450
                    |          |     |                          |              
5d5.6p              | 168306*  |   3 |             168306.88    |       L19450
                    |          |     |                          |              
5d5.(6S).6p         | 5P*      |   1 |             168408.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 168545*  |   2 |             168545.78    |       L19450
                    |          |     |                          |              
5d5.6p              | 169073*  |   3 |             169073.23    |       L19450
                    |          |     |                          |              
5d5.6p              | 170930*  |   4 |             170930.63    |       L19450
                    |          |     |                          |              
5d5.6p              | 171546*  |   5 |             171546.55    |       L19450
                    |          |     |                          |              
5d5.6p              | 174460*  |   1 |             174460.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 174982*  |   4 |             174982.96    |       L19450
                    |          |     |                          |              
5d5.6p              | 175829*  |   3 |             175829.67    |       L19450
                    |          |     |                          |              
5d5.6p              | 176565*  |   3 |             176565.95    |       L19450
                    |          |     |                          |              
5d5.6p              | 177517*  |   2 |             177517.90    |       L19450
                    |          |     |                          |              
5d5.(4D).6p         | 5F*      |   1 |             178779.04    |       L19450
                    |          |     |                          |              
5d5.6p              | 179486*  |   4 |             179486.69    |       L19450
                    |          |     |                          |              
5d5.6p              | 179880*  |   2 |             179880.44    |       L19450
                    |          |     |                          |              
5d5.6p              | 180331*  |   5 |             180331.80    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 3K*      |   6 |             180881.45    |       L19450
                    |          |     |                          |              
5d5.6p              | 180966*  |   3 |             180966.77    |       L19450
                    |          |     |                          |              
5d5.6p              | 181467*  |   2 |             181467.37    |       L19450
                    |          |     |                          |              
5d5.6p              | 182007*  |   4 |             182007.38    |       L19450
                    |          |     |                          |              
5d5.6p              | 182888*  |   3 |             182888.36    |       L19450
                    |          |     |                          |              
5d5.(4D).6p         | 5D*      |   0 |             183396.5     |       L19450
                    |          |     |                          |              
5d5.6p              | 183491*  |   2 |             183491.87    |       L19450
                    |          |     |                          |              
5d5.6p              | 183746*  |   1 |             183746.65    |       L19450
                    |          |     |                          |              
5d5.6p              | 183766*  |   4 |             183766.93    |       L19450
                    |          |     |                          |              
5d5.6p              | 184216*  |   1 |             184216.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 185142*  |   5 |             185142.58    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 3K*      |   7 |             185291.73    |       L19450
                    |          |     |                          |              
5d5.6p              | 185717*  |   1 |             185717.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 185755*  |   2 |             185755.03    |       L19450
                    |          |     |                          |              
5d5.6p              | 186025*  |   3 |             186025.28    |       L19450
                    |          |     |                          |              
5d5.6p              | 186345*  |   4 |             186345.35    |       L19450
                    |          |     |                          |              
5d5.6p              | 187065*  |   6 |             187065.29    |       L19450
                    |          |     |                          |              
5d5.6p              | 187363*  |   5 |             187363.17    |       L19450
                    |          |     |                          |              
5d5.(4G).6p         | 5H*      |   7 |             188096.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 188212*  |   3 |             188212.93    |       L19450
                    |          |     |                          |              
5d5.6p              | 188307*  |   2 |             188307.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 188845*  |   5 |             188845.35    |       L19450
                    |          |     |                          |              
5d5.(4G).6p         | 5H*      |   6 |             189531.52    |       L19450
                    |          |     |                          |              
5d5.6p              | 189719*  |   3 |             189719.97    |       L19450
                    |          |     |                          |              
5d5.6p              | 190349*  |   3 |             190349.90    |       L19450
                    |          |     |                          |              
5d5.6p              | 190648*  |   4 |             190648.63    |       L19450
                    |          |     |                          |              
5d5.6p              | 190869*  |   2 |             190869.34    |       L19450
                    |          |     |                          |              
5d5.6p              | 191058*  |   4 |             191058.98    |       L19450
                    |          |     |                          |              
5d5.6p              | 191223*  |   1 |             191223.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 191236*  |   3 |             191236.88    |       L19450
                    |          |     |                          |              
5d5.6p              | 191561*  |   4 |             191561.46    |       L19450
                    |          |     |                          |              
5d5.6p              | 192000*  |   2 |             192000.38    |       L19450
                    |          |     |                          |              
5d5.(4G).6p         | 3H*      |   6 |             192024.16    |       L19450
                    |          |     |                          |              
5d5.6p              | 192165*  |   4 |             192165.20    |       L19450
                    |          |     |                          |              
5d5.6p              | 192556*  |   2 |             192556.93    |       L19450
                    |          |     |                          |              
5d5.6p              | 193411*  |   5 |             193411.29    |       L19450
                    |          |     |                          |              
5d5.6p              | 193871*  |   1 |             193871.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 194800*  |   2 |             194800.44    |       L19450
                    |          |     |                          |              
5d5.6p              | 195103*  |   5 |             195103.39    |       L19450
                    |          |     |                          |              
5d5.6p              | 195114*  |   4 |             195114.70    |       L19450
                    |          |     |                          |              
5d5.(4P).6p         | 3D*      |   1 |             195162.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 195216*  |   3 |             195216.37    |       L19450
                    |          |     |                          |              
5d5.6p              | 195451*  |   2 |             195451.5     |       L19450
                    |          |     |                          |              
5d5.6p              | 196082*  |   3 |             196082.61    |       L19450
                    |          |     |                          |              
5d5.6p              | 196118*  |   2 |             196118.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 196533*  |   3 |             196533.80    |       L19450
                    |          |     |                          |              
5d5.6p              | 196538*  |   4 |             196538.04    |       L19450
                    |          |     |                          |              
5d5.6p              | 196600*  |   5 |             196600.97    |       L19450
                    |          |     |                          |              
5d5.6p              | 197732*  |   1 |             197732.9     |       L19450
                    |          |     |                          |              
5d5.6p              | 197876*  |   3 |             197876.51    |       L19450
                    |          |     |                          |              
5d5.6p              | 198090*  |   4 |             198090.74    |       L19450
                    |          |     |                          |              
5d5.6p              | 199096*  |   3 |             199096.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 199173*  |   4 |             199173.83    |       L19450
                    |          |     |                          |              
5d5.6p              | 199791*  |   5 |             199791.13    |       L19450
                    |          |     |                          |              
5d5.6p              | 199800*  |   2 |             199800.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 200071*  |   2 |             200071.24    |       L19450
                    |          |     |                          |              
5d5.6p              | 200139*  |   1 |             200139.1     |       L19450
                    |          |     |                          |              
5d5.6p              | 200658*  |   6 |             200658.47    |       L19450
                    |          |     |                          |              
5d5.(4D).6p         | 3P*      |   2 |             200848.6     |       L19450
                    |          |     |                          |              
5d5.6p              | 201282*  |   1 |             201282.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 201378*  |   4 |             201378.51    |       L19450
                    |          |     |                          |              
5d5.6p              | 201428*  |   3 |             201428.01    |       L19450
                    |          |     |                          |              
5d5.(2I).6p         | 1K*      |   7 |             201570.6     |       L19450
                    |          |     |                          |              
5d5.(4D).6p         | 3P*      |   0 |             202058.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 202492*  |   5 |             202492.70    |       L19450
                    |          |     |                          |              
5d5.6p              | 202898*  |   3 |             202898.4     |       L19450
                    |          |     |                          |              
