3d4.(3H).4p            | z 4H*  | 11/2 |              63848.6962    | L18847,L7185
                       |        | 13/2 |              64030.5053    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | y 4D*  |  3/2 |              64061.688     | L18847,L7185
                       |        |  5/2 |              64448.7503    | L18847,L7185
                       |        |  7/2 |              64924.4609    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | z 2S*  |  1/2 |              65029.3350    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | z 4G*  |  5/2 |              65156.4895    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 4I*  |  9/2 |              65217.5070    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | z 4G*  |  7/2 |              65256.8513    | L18847,L7185
                       |        |  9/2 |              65383.9035    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 4I*  | 11/2 |              65419.5155    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 2G*  |  7/2 |              65542.8987    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 4I*  | 13/2 |              65617.9458    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 2G*  |  9/2 |              65680.0091    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | z 4G*  | 11/2 |              65709.4418    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 4I*  | 15/2 |              65812.6491    | L18847,L7185
                       |        |      |                            |              
3d3.4s2                | d 4P   |  1/2 |              65882.4132    |       L18847
                       |        |  3/2 |              66010.2463    |       L18847
                       |        |      |                            |              
3d4.(a 3P).4p          | y 4P*  |  1/2 |              66256.4419    | L18847,L7185
                       |        |      |                            |              
3d3.4s2                | d 4P   |  5/2 |              66256.5589    |       L18847
                       |        |      |                            |              
3d4.(a 3P).4p          | y 4P*  |  3/2 |              66354.7570    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | z 2P*  |  3/2 |              66649.3915    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | y 4P*  |  5/2 |              66726.7823    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | z 2P*  |  1/2 |              66871.8296    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | y 4F*  |  5/2 |              67012.0754    | L18847,L7185
                       |        |  3/2 |              67070.4394    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | y 4G*  |  7/2 |              67333.7774    | L18847,L7185
                       |        |  5/2 |              67344.0068    | L18847,L7185
                       |        |  9/2 |              67353.2671    | L18847,L7185
                       |        | 11/2 |              67369.0687    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | z 2D*  |  3/2 |              67379.2950    | L18847,L7185
                       |        |  5/2 |              67387.0906    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | y 4F*  |  7/2 |              67393.4495    | L18847,L7185
                       |        |  9/2 |              67448.5405    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 2I*  | 11/2 |              67506.0890    | L18847,L7185
                       |        | 13/2 |              67588.8727    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | x 4D*  |  1/2 |              67859.5593    | L18847,L7185
                       |        |  5/2 |              67867.7867    | L18847,L7185
                       |        |  3/2 |              67870.2106    | L18847,L7185
                       |        |  7/2 |              67875.3689    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3P).4p          | z 4S*  |  3/2 |              68305.5518    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 2H*  |  9/2 |              68476.8759    | L18847,L7185
                       |        |      |                            |              
3d4.(a 3F).4p          | z 2F*  |  5/2 |              68583.3148    | L18847,L7185
                       |        |      |                            |              
3d4.(3H).4p            | z 2H*  | 11/2 |              68737.7714    | L18847,L7185
                       |        |      |                            |              
