3p6.3d9          | 2D     |  5/2 |               0.0    |       L9171
3p6.3d8.(1G).5p  | 2H*    | 11/2 |          373044      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |  3/2 |          373145      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2P*    |  1/2 |          373263      |            
                 |        |      |                      |             
3p6.3d8.(1G).5p  | 2F*    |  5/2 |          373265      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | *      |      |          373391      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2D*    |  3/2 |          373603      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2G*    |  7/2 |          373649      |            
                 |        |      |                      |             
3p6.3d8.(3F).4f  | 2F*    |  5/2 |          373859      |            
                 |        |      |                      |             
3p6.3d8.(1G).5p  | 2G*    |  7/2 |          375498      |            
                 |        |  9/2 |          375615      |            
                 |        |      |                      |             
3p6.3d8.(1S).4d  | 2D     |  5/2 |          377071.1    |            
                 |        |  3/2 |          377382.0    |            
                 |        |      |                      |             
3p6.3d8.(1D).4f  | 2F*    |  5/2 |          387509      |            
                 |        |  7/2 |          387734      |            
                 |        |      |                      |             
3p6.3d8.(1D).4f  | 2D*    |  3/2 |          387896      |            
                 |        |  5/2 |          387954      |            
                 |        |      |                      |             
3p6.3d8.(1D).4f  | 2P*    |  1/2 |          388204      |            
                 |        |  3/2 |          388208      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4F*    |  7/2 |          391506      |            
                 |        |  5/2 |          391541      |            
                 |        |  3/2 |          391611      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 2F*    |  7/2 |          391759      |            
                 |        |  5/2 |          392204      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4D*    |  1/2 |          392561      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4G*    |  7/2 |          392604      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4D*    |  5/2 |          392702      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4G*    |  5/2 |          392702      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 2D*    |  3/2 |          392798      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 4D*    |  7/2 |          393120      |            
                 |        |      |                      |             
3p6.3d8.(3P).4f  | 2D*    |  5/2 |          393120      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 2D*    |  5/2 |          397708      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 2F*    |  7/2 |          397708      |            
                 |        |      |                      |             
3p6.3d8.(1G).4f  | 2P*    |  3/2 |          398841      |            
                 |        |  1/2 |          398878      |            
                 |        |      |                      |             
3p6.3d8.(1G).4f  | 2D*    |  5/2 |          399227      |            
                 |        |  3/2 |          399290      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 4D*    |  5/2 |          399698      |            
                 |        |      |                      |             
3p6.3d8.(1G).4f  | 2F*    |  7/2 |          399867      |            
                 |        |  5/2 |          399919      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 4F*    |  5/2 |          399948      |            
                 |        |  7/2 |          399948      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 2D*    |  3/2 |          401555      |            
                 |        |      |                      |             
3p6.3d8.(3F).6p  | 2F*    |  5/2 |          401722      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2P*    |  3/2 |          409559      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2F*    |  7/2 |          409667      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2D*    |  5/2 |          409700      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 4P*    |  1/2 |          411772      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | *      |  3/2 |          411805      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | *      |  3/2 |          411954      |            
                 |        |      |                      |             
3p6.3d8.5f       | *      |  7/2 |          411965      |            
                 |        |      |                      |             
3p6.3d8.5f       | *      |  5/2 |          411965      |            
                 |        |      |                      |             
3p6.3d8.(1S).5p  | 2P*    |  1/2 |          411966      |            
                 |        |  3/2 |          412733      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2P*    |  1/2 |          413433      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | *      |  5/2 |          413433      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2G*    |  7/2 |          413666      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2D*    |  3/2 |          413684      |            
                 |        |      |                      |             
3p6.3d8.(3F).5f  | 2F*    |  5/2 |          413704      |            
                 |        |      |                      |             
3p6.3d8.(1D).6p  | 2D*    |  5/2 |          415343      |            
                 |        |  3/2 |          415492      |            
                 |        |      |                      |             
3p6.3d8.(1D).6p  | 2F*    |  5/2 |          415778      |            
                 |        |      |                      |             
3p6.3d8.(1D).6p  | 2P*    |  3/2 |          416127      |            
                 |        |      |                      |             
3p6.3d8.(3P).6p  | 4D*    |  3/2 |          420188      |            
                 |        |      |                      |             
3p6.3d8.(3P).6p  | 2P*    |  1/2 |          420796      |            
                 |        |      |                      |             
3p6.3d8.(1D).5f  | 2F*    |  5/2 |          427723      |            
                 |        |      |                      |             
3p6.3d8.(1D).5f  | 2D*    |  3/2 |          427880      |            
                 |        |  5/2 |          427885      |            
                 |        |      |                      |             
3p6.3d8.(1G).6p  | 2F*    |  7/2 |          427901      |            
                 |        |      |                      |             
3p6.3d8.(1D).5f  | 2F*    |  7/2 |          427933      |            
                 |        |      |                      |             
3p6.3d8.(1G).6p  | 2F*    |  5/2 |          427938      |            
                 |        |      |                      |             
3p6.3d8.(3P).5f  | 2F*    |  7/2 |          432075      |            
                 |        |  5/2 |          432353      |            
                 |        |      |                      |             
3p6.3d8.(3P).5f  | 4G*    |  7/2 |          432442      |            
                 |        |  5/2 |          432673      |            
                 |        |      |                      |             
3p6.3d8.(3P).5f  | 2D*    |  3/2 |          432673      |            
                 |        |      |                      |             
3p6.3d8.(1S).4f  | 2F*    |  7/2 |          439223      |            
                 |        |  5/2 |          439286      |            
                 |        |      |                      |             
3p6.3d8.(1G).5f  | 2P*    |  3/2 |          439576      |            
                 |        |  1/2 |          439610      |            
                 |        |      |                      |             
3p6.3d8.(1G).5f  | 2D*    |  5/2 |          439859      |            
                 |        |  3/2 |          439863      |            
                 |        |      |                      |             
3p6.3d8.(1G).5f  | 2F*    |  5/2 |          439979      |            
