3p6.3d7          | 4F     |  9/2 |                 0.0    |      L7185
3d6.(3D).4p      | 2F*    |  7/2 |            228518.5    |           
                 |        |  5/2 |            229269.5    |           
                 |        |      |                        |            
3d6.(1S2).4p     | *      |  1/2 |            229297.5    |           
                 |        |      |                        |            
3d6.(1D2).4p     | *      |  5/2 |            231091.8    |           
                 |        |      |                        |            
3d6.(1D2).4p     | 2D*    |  3/2 |            231742.0    |           
                 |        |      |                        |            
3d6.(1D2).4p     | *      |  5/2 |            232272.7    |           
                 |        |      |                        |            
3d6.(1D2).4p     | 2F*    |  7/2 |            232539.5    |           
                 |        |      |                        |            
3d6.(1D2).4p     | 2P*    |  1/2 |            232897.0    |           
                 |        |      |                        |            
3d6.(1S2).4p     | *      |  3/2 |            234019.5    |           
                 |        |      |                        |            
3d6.(1F).4p      | 2G*    |  7/2 |            237480.3    |           
                 |        |  9/2 |            238957.8    |           
                 |        |      |                        |            
3d6.(1F).4p      | 2D*    |  5/2 |            239009.7    |           
                 |        |  3/2 |            240094.2    |           
                 |        |      |                        |            
3d6.(3P1).4p     | 4D*    |  1/2 |            241172.4    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 4D*    |  3/2 |            241540.0    |           
                 |        |  5/2 |            241817.9    |           
                 |        |  7/2 |            241939.0    |           
                 |        |      |                        |            
3d6.(1F).4p      | 2F*    |  5/2 |            243520.1    |           
                 |        |  7/2 |            243542.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 4G*    |  7/2 |            247731.7    |           
                 |        |  9/2 |            248218.0    |           
                 |        | 11/2 |            248855.4    |           
                 |        |      |                        |            
3d6.(3P1).4p     | 4S*    |  3/2 |            249130.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 2D*    |  3/2 |            250951.0    |           
                 |        |  5/2 |            251694.3    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 2G*    |  9/2 |            251773.6    |           
                 |        |      |                        |            
3d6.(3P1).4p     | 4P*    |  5/2 |            252354.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 2G*    |  7/2 |            252523.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | *      |  3/2 |            252975.4    |           
                 |        |      |                        |            
3d6.(3F1).4p     | *      |  5/2 |            253326.2    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 4F*    |  3/2 |            253579.3    |           
                 |        |  7/2 |            253639.1    |           
                 |        |  5/2 |            254123.7    |           
                 |        |  9/2 |            254300.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | *      |  7/2 |            254663.4    |           
                 |        |      |                        |            
3d6.(3F1).4p     | *      |  3/2 |            255064.0    |           
                 |        |      |                        |            
3d6.(3F1).4p     | 2F*    |  7/2 |            257018.0    |           
                 |        |  5/2 |            257406.4    |           
                 |        |      |                        |            
3d6.(1G1).4p     | 2H*    |  9/2 |            258672.8    |           
                 |        | 11/2 |            260065.1    |           
                 |        |      |                        |            
3d6.(1G1).4p     | *      |  7/2 |            260355.5    |           
                 |        |      |                        |            
3d6.(1G1).4p     | 2F*    |  5/2 |            261226.3    |           
                 |        |      |                        |            
3d6.(1G1).4p     | 2G*    |  9/2 |            262275.5    |           
                 |        |  7/2 |            262538.7    |           
                 |        |      |                        |            
3d6.(1D1).4p     | 2D*    |  3/2 |            282179.5    |           
                 |        |  5/2 |            282645.2    |           
