6s2.15d           | 2D     |     3/2 |          43008.42    |        L3974
                  |        |         |                      |              
6s2.14f           | 2F*    |     5/2 |          43098.15    |        L3974
                  |        |     7/2 |          43102.31    |        L3974
                  |        |         |                      |              
6s2.17p           | 2P*    |     3/2 |          43111.69    |        L3974
                  |        |         |                      |              
6s2.16d           | 2D     |     3/2 |          43112.80    |        L3974
                  |        |         |                      |              
6s2.15f           | 2F*    |     5/2 |          43188.28    |        L3974
                  |        |     7/2 |          43193.85    |        L3974
                  |        |         |                      |              
6s2.18p           | 2P*    |     3/2 |          43197.07    |        L3974
                  |        |         |                      |              
6s2.17d           | 2D     |     3/2 |          43236.65    |        L3974
                  |        |         |                      |              
6s2.19p           | 2P*    |     1/2 |          43258.71    |        L3974
                  |        |         |                      |              
6s2.16f           | 2F*    |     7/2 |          43267.57    |        L3974
                  |        |         |                      |              
6s2.18d           | 2D     |     3/2 |          43291.10    |        L3974
                  |        |         |                      |              
5d.6s.(3D).7p     | *      |     3/2 |          43291.45    |        L4320
                  |        |         |                      |              
6s2.17f           | 2F*    |     7/2 |          43327.84    |        L3974
                  |        |         |                      |              
6s2.20p           | 2P*    |     1/2 |          43328.46    |        L3974
                  |        |         |                      |              
6s2.17f           | 2F*    |     5/2 |          43332.57    |        L3974
                  |        |         |                      |              
6s2.20p           | 2P*    |     3/2 |          43336.86    |        L3974
                  |        |         |                      |              
6s2.19d           | 2D     |     3/2 |          43344.18    |        L3974
                  |        |         |                      |              
6s2.18f           | 2F*    |     7/2 |          43377.74    |        L3974
                  |        |     5/2 |          43379.31    |        L3974
                  |        |         |                      |              
6s2.21p           | 2P*    |     3/2 |          43384.56    |        L3974
                  |        |         |                      |              
6s2.20d           | 2D     |     3/2 |          43390.24    |        L3974
                  |        |         |                      |              
6s2.19f           | 2F*    |     7/2 |          43419.54    |        L3974
                  |        |     5/2 |          43420.16    |        L3974
                  |        |         |                      |              
6s2.22p           | 2P*    |     1/2 |          43423.85    |        L3974
                  |        |     3/2 |          43425.08    |        L3974
                  |        |         |                      |              
6s2.21d           | 2D     |     3/2 |          43429.54    |        L3974
                  |        |         |                      |              
6s2.20f           | 2F*    |     7/2 |          43454.87    |        L3974
                  |        |     5/2 |          43455.08    |        L3974
                  |        |         |                      |              
6s2.23p           | 2P*    |     1/2 |          43457.65    |        L3974
                  |        |     3/2 |          43459.47    |        L3974
                  |        |         |                      |              
6s2.22d           | 2D     |     3/2 |          43463.10    |        L3974
                  |        |         |                      |              
6s2.21f           | 2F*    |     5/2 |          43485.01    |        L3974
                  |        |     7/2 |          43485.01    |        L3974
                  |        |         |                      |              
6s2.24p           | 2P*    |     1/2 |          43487.15    |        L3974
                  |        |     3/2 |          43488.91    |        L3974
                  |        |         |                      |              
6s2.23d           | 2D     |     3/2 |          43491.88    |        L3974
                  |        |         |                      |              
6s2.22f           | 2F*    |     5/2 |          43510.81    |        L3974
                  |        |     7/2 |          43510.93    |        L3974
                  |        |         |                      |              
6s2.25p           | 2P*    |     1/2 |          43512.65    |        L3974
                  |        |     3/2 |          43514.29    |        L3974
                  |        |         |                      |              
6s2.24d           | 2D     |     3/2 |          43516.76    |        L3974
                  |        |         |                      |              
6s2.23f           | 2F*    |     5/2 |          43533.18    |        L3974
                  |        |     7/2 |          43533.38    |        L3974
                  |        |         |                      |              
6s2.26p           | 2P*    |     1/2 |          43534.90    |        L3974
                  |        |     3/2 |          43536.23    |        L3974
                  |        |         |                      |              
6s2.25d           | 2D     |     3/2 |          43538.42    |        L3974
                  |        |         |                      |              
6s2.24f           | 2F*    |     5/2 |          43552.71    |        L3974
                  |        |     7/2 |          43552.95    |        L3974
                  |        |         |                      |              
6s2.27p           | 2P*    |     3/2 |          43555.28    |        L3974
                  |        |         |                      |              
6s2.26d           | 2D     |     3/2 |          43557.30    |        L3974
                  |        |         |                      |              
6s2.25f           | 2F*    |     5/2 |          43569.85    |        L3974
                  |        |     7/2 |          43570.13    |        L3974
                  |        |         |                      |              
6s2.27d           | 2D     |     3/2 |          43573.94    |        L3974
                  |        |         |                      |              
6s2.26f           | 2F*    |     5/2 |          43584.98    |        L3974
                  |        |     7/2 |          43585.27    |        L3974
                  |        |         |                      |              
6s2.28d           | 2D     |     3/2 |          43588.68    |        L3974
                  |        |         |                      |              
6s2.27f           | 2F*    |     5/2 |          43598.40    |        L3974
                  |        |     7/2 |          43598.68    |        L3974
                  |        |         |                      |              
5d2.(3F).6p       | 4G*    |     9/2 |          43599.65    |        L4320
                  |        |         |                      |              
6s2.29d           | 2D     |     3/2 |          43601.73    |        L3974
                  |        |         |                      |              
6s2.28f           | 2F*    |     5/2 |          43610.34    |        L3974
                  |        |     7/2 |          43610.66    |        L3974
                  |        |         |                      |              
6s2.30d           | 2D     |     3/2 |          43613.30    |        L3974
                  |        |         |                      |              
6s2.29f           | 2F*    |     5/2 |          43621.02    |        L3974
                  |        |     7/2 |          43621.28    |        L3974
                  |        |         |                      |              
6s2.31d           | 2D     |     3/2 |          43623.82    |        L3974
                  |        |         |                      |              
6s2.30f           | 2F*    |     5/2 |          43630.64    |        L3974
                  |        |     7/2 |          43630.88    |        L3974
                  |        |         |                      |              
6s2.32d           | 2D     |     3/2 |          43633.23    |        L3974
                  |        |         |                      |              
6s2.31f           | 2F*    |     5/2 |          43639.31    |        L3974
                  |        |     7/2 |          43639.58    |        L3974
                  |        |         |                      |              
6s2.33d           | 2D     |     3/2 |          43641.79    |        L3974
                  |        |         |                      |              
6s2.32f           | 2F*    |     5/2 |          43647.13    |        L3974
                  |        |     7/2 |          43647.34    |        L3974
                  |        |         |                      |              
6s2.34d           | 2D     |     3/2 |          43649.10    |        L3974
                  |        |         |                      |              
6s2.33f           | 2F*    |     5/2 |          43654.23    |        L3974
                  |        |     7/2 |          43654.47    |        L3974
                  |        |         |                      |              
6s2.34f           | 2F*    |     5/2 |          43660.81    |        L3974
                  |        |     7/2 |          43660.95    |        L3974
                  |        |         |                      |              
6s2.35f           | 2F*    |     5/2 |          43666.72    |        L3974
                  |        |     7/2 |          43666.85    |        L3974
