4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 9F      |   7 |           20434.115    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3P) (8P*).6s     | 7P*     |   2 |           20565.620    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3F) (6F*).6s     | 5F*     |   5 |           20588.292    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3P) (8P*).6s     | 7P*     |   3 |           20759.674    |          
                                |         |   4 |           21152.850    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   0 |           21347.427    |          
                                |         |   1 |           21381.514    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 7G*     |   6 |           21389.502    |          
                                |         |   5 |           21439.715    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   2 |           21450.164    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 7G*     |   7 |           21514.952    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   3 |           21543.156    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 7G*     |   4 |           21544.680    |          
                                |         |   3 |           21647.935    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   4 |           21674.730    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(1G) (8G*).6s     | 7G*     |   2 |           21745.650    |          
                                |         |   1 |           21815.645    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 9P      |   3 |           21857.475    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   5 |           21905.353    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 9P      |   4 |           22225.537    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   2 |           22334.508    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   2 |           22429.156    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7F      |   6 |           22452.867    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 9D      |   3 |           22563.824    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   3 |           22602.550    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 9P      |   5 |           22718.314    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 9D      |   4 |           22820.895    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   4 |           22835.400    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3F) (10F*).6p    |         |   1 |           23103.660    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   5 |           23128.224    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 9D      |   5 |           23196.410    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   2 |           23215.028    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 9D      |   6 |           23229.298    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   3 |           23389.782    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   6 |           23479.211    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   4 |           23644.156    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   7 |           23883.504    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   5 |           23999.912    |          
                                |         |     |                        |           
4f8.(7F).5d (8G).6s             | 9G      |   7 |           24255.103    |          
                                |         |     |                        |           
4f7.(8S*).5d3.(4F)              | 11F*    |   8 |           24332.715    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   6 |           24430.425    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7P      |   2 |           24458.988    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 9D      |   2 |           24655.639    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)? |         |   5 |           24660.325    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  |         |   3 |           24714.841    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  |         |   4 |           24849.514    |          
                                |         |     |                        |           
4f8.(7F).5d (8G).6s             | 9G      |   6 |           24854.297    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(3P*)  | 7P      |   3 |           24860.040    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 7D      |   4 |           24988.884    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   5 |           25043.649    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3F) (10F*).6p    | 11G     |   1 |           25069.179    |          
                                |         |   2 |           25164.640    |          
                                |         |     |                        |           
4f7.(8S*).5d (7D*).6s.6p.(3P*)  | 7D      |   3 |           25253.838    |          
                                |         |   2 |           25337.755    |          
                                |         |   1 |           25352.706    |          
                                |         |     |                        |           
4f7.(8S*).5d (9D*).6s.6p.(1P*)  |         |   7 |           25376.313    |          
                                |         |     |                        |           
4f8.(7F).5d (8G).6s             | 9G      |   5 |           25380.885    |          
                                |         |     |                        |           
4f7.(8S*).5d2.(3F) (10F*).6p    | 11G     |   3 |           25403.265    |          
