15p             | 2P*    |  1/2 |                  (1748215.333500)      | L3620c107
                |        |      |                                        |           
15s             | 2S     |  1/2 |                  (1748215.347896)      | L3620c107
                |        |      |                                        |           
15t             | 2T     | 29/2 |                  (1748215.747485350)   | L3620c107
                |        |      |                                        |           
16p             | 2P*    |  1/2 |                  (1749160.309219)      | L3620c107
                |        |      |                                        |           
16s             | 2S     |  1/2 |                  (1749160.321082)      | L3620c107
                |        |      |                                        |           
16u             | 2U*    | 31/2 |                  (1749160.651852810)   | L3620c107
                |        |      |                                        |           
17p             | 2P*    |  1/2 |                  (1749943.478535)      | L3620c107
                |        |      |                                        |           
17s             | 2S     |  1/2 |                  (1749943.488425)      | L3620c107
                |        |      |                                        |           
17v             | 2V     | 33/2 |                  (1749943.765309490)   | L3620c107
                |        |      |                                        |           
18p             | 2P*    |  1/2 |                  (1750599.779467)      | L3620c107
                |        |      |                                        |           
18s             | 2S     |  1/2 |                  (1750599.787799)      | L3620c107
                |        |      |                                        |           
18w             | 2W*    | 35/2 |                  (1750600.021888900)   | L3620c107
                |        |      |                                        |           
19p             | 2P*    |  1/2 |                  (1751155.204963)      | L3620c107
                |        |      |                                        |           
19s             | 2S     |  1/2 |                  (1751155.212048)      | L3620c107
                |        |      |                                        |           
19x             | 2X     | 37/2 |                  (1751155.411724490)   | L3620c107
                |        |      |                                        |           
20p             | 2P*    |  1/2 |                  (1751629.416737)      | L3620c107
                |        |      |                                        |           
20s             | 2S     |  1/2 |                  (1751629.422811)      | L3620c107
                |        |      |                                        |           
20y             | 2Y*    | 39/2 |                  (1751629.594500580)   | L3620c107
