3d4.(5D).4s.4p.(1P*)  | y 5F*  |   3 |            41086.218     |     L18327,L7185
                      |        |   4 |            41224.7429    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | y 5D*  |   0 |            41224.751     |     L18327,L7185
                      |        |   1 |            41289.1133    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | y 5F*  |   5 |            41393.446     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | y 5D*  |   2 |            41408.9840    |     L18327,L7185
                      |        |   3 |            41575.099     |     L18327,L7185
                      |        |   4 |            41782.1313    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5H*  |   3 |            42025.4956    |     L18327,L7185
                      |        |   4 |            42079.7263    |     L18327,L7185
                      |        |   5 |            42153.499     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 5D*  |   0 |            42218.321     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).5p           | x 7P*  |   2 |            42237.957     |           L18327
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5H*  |   6 |            42252.141     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).4d           | e 7D   |   1 |            42253.2416    |           L18327
                      |        |     |                          |                  
3d5.(6S).5p           | x 7P*  |   3 |            42253.966     |           L18327
                      |        |     |                          |                  
3d5.(6S).4d           | e 7D   |   2 |            42254.3929    |           L18327
                      |        |   3 |            42256.0868    |           L18327
                      |        |   4 |            42258.3607    |           L18327
                      |        |   5 |            42261.2258    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).5p           | x 7P*  |   4 |            42275.19      |           L18327
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 5D*  |   1 |            42292.8417    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5H*  |   7 |            42387.260     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 5D*  |   2 |            42438.751     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4G).4p           | z 5G*  |   2 |            42515.3342    |     L18327,L7185
                      |        |   3 |            42538.7424    |     L18327,L7185
                      |        |   4 |            42564.7783    |     L18327,L7185
                      |        |   5 |            42589.1721    |     L18327,L7185
                      |        |   6 |            42605.7080    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 5D*  |   3 |            42648.2577    |     L18327,L7185
                      |        |   4 |            42908.3681    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | z 5S*  |   2 |            43124.806     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).4d           | e 5D   |   4 |            44050.9786    |           L18327
                      |        |   3 |            44068.8470    |           L18327
                      |        |   2 |            44080.9973    |           L18327
                      |        |   1 |            44088.9776    |           L18327
                      |        |   0 |            44092.9034    |           L18327
                      |        |     |                          |                  
3d5.(6S).5p           | w 5P*  |   1 |            44125.7144    |     L18327,L7185
                      |        |   2 |            44186.7624    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5I*  |   4 |            44246.557     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).5p           | w 5P*  |   3 |            44259.182     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | y 5G*  |   2 |            44299.9171    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5I*  |   5 |            44307.97      |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | y 5G*  |   3 |            44373.2928    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5I*  |   6 |            44393.02      |     L18327,L7185
                      |        |   7 |            44514.35      |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | y 5G*  |   4 |            44534.429     |     L18327,L7185
                      |        |   5 |            44591.3768    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | z 5I*  |   8 |            44666.532     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | v 5P*  |   1 |            44666.6907    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | y 5G*  |   6 |            44746.259     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | v 5P*  |   2 |            44875.1301    |     L18327,L7185
