3d10               | 1S          |   0 |               0.0    |        L12180
3d8.4s.(4P).4p     | 3P*         |   1 |          464221      |              
                   |             |     |                      |               
3d9.8s             | (5/2,1/2)   |   3 |          465423      |              
                   |             |   2 |          465497      |              
                   |             |     |                      |               
3d8.4s.(4P).4p     | 3P*         |   0 |          465833      |              
                   |             |   2 |          466359      |              
                   |             |     |                      |               
3d8.4s.(2D).4p     | 1P*         |   1 |          467778      |              
                   |             |     |                      |               
3d9.8s             | (3/2,1/2)   |   1 |          469005      |              
                   |             |   2 |          469058      |              
                   |             |     |                      |               
3d8.4s.(2G).4p     | 1F*         |   3 |          475514      |              
