3d2.(3F).4d         | 4D     |  7/2 |            65460.1706    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 4H   | 13/2 |            65590.4928    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | f 2F   |  7/2 |            65598.8926    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 2P     |  1/2 |            66521.210     |      L17885
                    |        |  3/2 |            66794.2052    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4P     |  1/2 |            67437.5295    |      L17885
                    |        |  3/2 |            67549.2547    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 2G   |  7/2 |            67606.1621    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 4P     |  5/2 |            67699.4431    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 2G   |  9/2 |            67822.5867    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 2H   |  9/2 |            68331.1599    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | 2D     |  3/2 |            68364.5454    |      L17885
                    |        |  5/2 |            68482.5767    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | e 2H   | 11/2 |            68584.4792    |      L17885
                    |        |      |                          |             
3d2.(3F).4d         | f 4F   |  3/2 |            68769.3365    |      L17885
                    |        |  5/2 |            68846.699     |      L17885
                    |        |  7/2 |            68952.1302    |      L17885
                    |        |  9/2 |            69084.6309    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(1P*) | v 2D*  |  3/2 |            69327.5102    |      L17885
                    |        |  5/2 |            69622.3000    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(1P*) | v 2F*  |  5/2 |            70605.9514    |      L17885
                    |        |      |                          |             
3d2.(1D).5s         | 2D     |  5/2 |            70806.2161    |      L17885
                    |        |  3/2 |            70809.3378    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(1P*) | v 2F*  |  7/2 |            70892.6160    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4G*    |  5/2 |            71461.7932    |      L17885
                    |        |  7/2 |            71586.2514    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4F*    |  3/2 |            71728.4971    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4G*    |  9/2 |            71747.6684    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4F*    |  5/2 |            71825.9911    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4G*    | 11/2 |            71946.0817    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4F*    |  7/2 |            71960.4326    |      L17885
                    |        |  9/2 |            72126.9130    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4D*    |  1/2 |            72270.5521    |      L17885
                    |        |  3/2 |            72338.2060    |      L17885
                    |        |  5/2 |            72451.6968    |      L17885
                    |        |      |                          |             
3d2.(3P).5s         | 4P     |  1/2 |            72599.0930    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 4D*    |  7/2 |            72608.9742    |      L17885
                    |        |      |                          |             
3d2.(3P).5s         | 4P     |  3/2 |            72660.8635    |      L17885
                    |        |  5/2 |            72761.7101    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 2G*    |  7/2 |            72884.5221    |      L17885
                    |        |  9/2 |            73133.5489    |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2S     |  1/2 |            73375.538     |      L17885
                    |        |      |                          |             
3d2.(3P).5s         | 2P     |  1/2 |            73437.2269    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 2F*    |  5/2 |            73522.8997    |      L17885
                    |        |      |                          |             
3d2.(3P).5s         | 2P     |  3/2 |            73553.8175    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(1P*) | 2P*    |  1/2 |            73628.043     |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 2F*    |  7/2 |            73800.7705    |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 2D*    |  3/2 |            73950.1912    |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2F     |  5/2 |            73975.618     |      L17885
                    |        |  7/2 |            74063.7771    |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2P     |  3/2 |            74213.6741    |      L17885
                    |        |      |                          |             
3d.(2D).4s.4p.(1P*) | 2P*    |  3/2 |            74378.721     |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2P     |  1/2 |            74436.599     |      L17885
                    |        |      |                          |             
3d2.(3F).5p         | 2D*    |  5/2 |            74645.2073    |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2G     |  9/2 |            74908.058     |      L17885
                    |        |  7/2 |            74910.8726    |      L17885
                    |        |      |                          |             
3d2.(1D).4d         | 2D     |  3/2 |            75825.1131    |      L17885
                    |        |  5/2 |            75981.346     |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4F     |  3/2 |            76285.981     |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4D     |  1/2 |            76296.292     |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4F     |  5/2 |            76311.242     |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4D     |  7/2 |            76345.1973    |      L17885
                    |        |  3/2 |            76358.7220    |      L17885
                    |        |  5/2 |            76407.7595    |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4F     |  7/2 |            76441.3150    |      L17885
                    |        |  9/2 |            76496.2220    |      L17885
                    |        |      |                          |             
3d2.(1G).5s         | 2G     |  7/2 |            76598.492     |      L17885
                    |        |  9/2 |            76599.8564    |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 2F     |  5/2 |            77335.2729    |      L17885
                    |        |  7/2 |            77359.019     |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 4P     |  3/2 |            77741.1809    |      L17885
                    |        |  1/2 |            77753.0000    |      L17885
                    |        |  5/2 |            77807.7864    |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 2P     |  1/2 |            77937.4445    |      L17885
                    |        |  3/2 |            78058.1017    |      L17885
                    |        |      |                          |             
3d2.(3P).4d         | 2D     |  5/2 |            78543.8893    |      L17885
                    |        |  3/2 |            78595.8371    |      L17885
                    |        |      |                          |             
3d2.(1G).4d         | 2G     |  7/2 |            80076.398     |      L17885
                    |        |  9/2 |            80113.1209    |      L17885
                    |        |      |                          |             
3d2.(1D).5p         | 2F*    |  5/2 |            80188.3226    |      L17885
                    |        |  7/2 |            80268.0717    |      L17885
                    |        |      |                          |             
3d2.(1G).4d         | 2H     |  9/2 |            80788.150     |      L17885
                    |        | 11/2 |            80829.6682    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4H*    |  7/2 |            81627.830     |      L17885
                    |        |  9/2 |            81676.4409    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2G*    |  7/2 |            81685.979     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4G*    |  5/2 |            81724.330     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4I*    |  9/2 |            81738.2883    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4H*    | 11/2 |            81754.1387    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4D*    |  3/2 |            81771.556     |      L17885
                    |        |  5/2 |            81774.158     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2G*    |  9/2 |            81842.2440    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4G*    |  7/2 |            81861.0276    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4F*    |  3/2 |            81867.876     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4I*    | 11/2 |            81889.5772    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4F*    |  7/2 |            81913.0457    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4I*    | 13/2 |            81919.6886    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2H*    |  9/2 |            81924.127     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4F*    |  5/2 |            81943.4136    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2F*    |  5/2 |            81997.005     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2I*    | 11/2 |            82001.109     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2P*    |  1/2 |            82065.643     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4H*    | 13/2 |            82073.0114    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4G*    |  9/2 |            82078.561     |      L17885
                    |        | 11/2 |            82103.1876    |      L17885
                    |        |      |                          |             
3d2.(3P).5p         | 4D*    |  5/2 |            82111.809     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4D*    |  7/2 |            82134.1565    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4F*    |  9/2 |            82147.7069    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2F*    |  7/2 |            82151.461     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4I*    | 15/2 |            82164.075     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2H*    | 11/2 |            82183.471     |      L17885
                    |        |      |                          |             
3d2.(1G).4d         | 2F     |  5/2 |            82241.662     |      L17885
                    |        |  7/2 |            82243.0637    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4P*    |  5/2 |            82246.515     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2I*    | 13/2 |            82284.367     |      L17885
                    |        |      |                          |             
3d2.(3P).5p         | 4D*    |  7/2 |            82316.4935    |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 2D*    |  5/2 |            82319.068     |      L17885
                    |        |      |                          |             
3d2.(3F).4f         | 4S*    |  3/2 |            82370.216     |      L17885
                    |        |      |                          |             
3d2.(3F).6s         | 4F     |  3/2 |            82839.341     |      L17885
                    |        |  5/2 |            82914.301     |      L17885
                    |        |  7/2 |            83058.538     |      L17885
                    |        |      |                          |             
3d2.(3F).6s         | 2F     |  5/2 |            83245.315     |      L17885
                    |        |      |                          |             
3d2.(3F).6s         | 4F     |  9/2 |            83257.2496    |      L17885
                    |        |      |                          |             
3d2.(3F).6s         | 2F     |  7/2 |            83519.365     |      L17885
                    |        |      |                          |             
3d2.(1G).4d         | 2D     |  5/2 |            83661.0179    |      L17885
                    |        |  3/2 |            83666.406     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4G     |  5/2 |            84268.971     |      L17885
                    |        |  7/2 |            84360.507     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4H     |  7/2 |            84369.880     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4G     |  9/2 |            84490.976     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4D     |  3/2 |            84510.157     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4H     |  9/2 |            84512.7943    |      L17885
                    |        | 11/2 |            84632.249     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4D     |  5/2 |            84644.617     |      L17885
                    |        |  7/2 |            84652.443     |      L17885
                    |        |      |                          |             
3d2.(3F).5d         | 4H     | 13/2 |            84722.279     |      L17885
