                 |        |      |                       |           
3d4.(3F2).4p     | 2F*    |  7/2 |          224046.02    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4G*    |  7/2 |          224230.60    |          
                 |        |  9/2 |          224576.43    |          
                 |        | 11/2 |          224870.85    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4D*    |  1/2 |          226851.93    |          
                 |        |  3/2 |          226892.10    |          
                 |        |  5/2 |          226983.58    |          
                 |        |  7/2 |          227258.80    |          
                 |        |      |                       |           
3d4.(3G).4p      | 2G*    |  7/2 |          227604.73    |          
                 |        |  9/2 |          227660.25    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4P*    |  5/2 |          227919.05    |          
                 |        |      |                       |           
3d4.(1G2).4p     | 2F*    |  7/2 |          228193.67    |          
                 |        |      |                       |           
3d4.(1I).4p      | 2I*    | 13/2 |          228204.33    |          
                 |        | 11/2 |          228315.03    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4P*    |  3/2 |          228589.67    |          
                 |        |      |                       |           
3d4.(1G2).4p     | 2H*    |  9/2 |          228793.86    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4F*    |  3/2 |          228862.61    |          
                 |        |      |                       |           
3d4.(1S2).4p     | 2P*    |  1/2 |          228946.59    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4P*    |  1/2 |          229037.02    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4F*    |  5/2 |          229062.58    |          
                 |        |      |                       |           
3d4.(1G2).4p     | 2F*    |  5/2 |          229138.90    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4F*    |  7/2 |          229288.02    |          
                 |        |      |                       |           
3d4.(1G2).4p     | 2H*    | 11/2 |          229306.61    |          
                 |        |      |                       |           
3d4.(3D).4p      | 2P*    |  3/2 |          229428.91    |          
                 |        |      |                       |           
3d4.(1I).4p      | 2K*    | 13/2 |          229472.83    |          
                 |        |      |                       |           
3d4.(3D).4p      | 4F*    |  9/2 |          229494.74    |          
                 |        |      |                       |           
3d4.(1I).4p      | 2K*    | 15/2 |          230195.02    |          
                 |        |      |                       |           
3d4.(1G2).4p     | 2G*    |  7/2 |          231473.32    |          
                 |        |  9/2 |          231804.00    |          
                 |        |      |                       |           
3d4.(1I).4p      | 2H*    | 11/2 |          233272.84    |          
                 |        |      |                       |           
3d4.(3D).4p      | 2F*    |  7/2 |          233780.86    |          
                 |        |      |                       |           
3d4.(1S2).4p     | 2P*    |  3/2 |          233786.72    |          
                 |        |      |                       |           
3d4.(1I).4p      | 2H*    |  9/2 |          233802.12    |          
                 |        |      |                       |           
3d4.(3D).4p      | 2P*    |  1/2 |          233927.12    |          
                 |        |      |                       |           
3d4.(3D).4p      | 2F*    |  5/2 |          234106.72    |          
                 |        |      |                       |           
3d4.(3D).4p      | 2D*    |  5/2 |          234472.00    |          
                 |        |  3/2 |          234984.35    |          
                 |        |      |                       |           
3d4.(1D2).4p     | 2D*    |  3/2 |          236918.79    |          
                 |        |  5/2 |          237283.09    |          
                 |        |      |                       |           
3d4.(1D2).4p     | 2F*    |  5/2 |          238512.84    |          
                 |        |  7/2 |          239071.40    |          
                 |        |      |                       |           
3d4.(1D2).4p     | 2P*    |  3/2 |          242259.25    |          
                 |        |      |                       |           
3d4.(1F).4p      | 2F*    |  5/2 |          242614.60    |          
                 |        |  7/2 |          242965.62    |          
                 |        |      |                       |           
3d4.(1F).4p      | 2G*    |  7/2 |          244759.25    |          
                 |        |  9/2 |          245742.29    |          
                 |        |      |                       |           
3d4.(1F).4p      | 2D*    |  5/2 |          246990.80    |          
                 |        |  3/2 |          248077.97    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4F*    |  5/2 |          250195.07    |          
                 |        |  3/2 |          250249.39    |          
                 |        |  7/2 |          250279.06    |          
                 |        |  9/2 |          250502.29    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4P*    |  3/2 |          250891.05    |          
                 |        |      |                       |           
3d4.(3P1).4p     | *      |  5/2 |          251014.02    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4P*    |  1/2 |          251156.94    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4D*    |  7/2 |          251658.34    |          
                 |        |      |                       |           
3d4.(3P1).4p     | *      |  3/2 |          251944.03    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4P*    |  5/2 |          251958.94    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4D*    |  1/2 |          251984.20    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4G*    |  5/2 |          252884.48    |          
                 |        |  7/2 |          253254.37    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 2D*    |  5/2 |          253575.65    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4G*    |  9/2 |          253827.43    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 2D*    |  3/2 |          253868.43    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 2F*    |  7/2 |          253923.59    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4G*    | 11/2 |          254164.84    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 2F*    |  5/2 |          254169.13    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 4S*    |  3/2 |          257503.26    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 2G*    |  9/2 |          258566.02    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4D*    |  7/2 |          258591.92    |          
                 |        |  5/2 |          258986.64    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 2P*    |  3/2 |          259011.48    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 2G*    |  7/2 |          259039.72    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 4D*    |  3/2 |          259183.82    |          
                 |        |  1/2 |          259254.34    |          
                 |        |      |                       |           
3d4.(3P1).4p     | 2P*    |  1/2 |          259581.64    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 2S*    |  1/2 |          262348.36    |          
                 |        |      |                       |           
3d4.(1G1).4p     | 2H*    |  9/2 |          262557.77    |          
                 |        |      |                       |           
3d4.(1G1).4p     | 2G*    |  7/2 |          262995.01    |          
                 |        |  9/2 |          263876.91    |          
                 |        |      |                       |           
3d4.(1G1).4p     | 2H*    | 11/2 |          264011.54    |          
                 |        |      |                       |           
3d4.(1G1).4p     | 2F*    |  7/2 |          265084.77    |          
                 |        |  5/2 |          265369.48    |          
                 |        |      |                       |           
3d4.(3F1).4p     | 2D*    |  5/2 |          266181.09    |          
                 |        |  3/2 |          266335.24    |          
                 |        |      |                       |           
3d4.(1D1).4p     | 2P*    |  3/2 |          280758.37    |          
                 |        |  1/2 |          281446.30    |          
                 |        |      |                       |           
3d4.(1D1).4p     | 2F*    |  5/2 |          285052.77    |          
                 |        |  7/2 |          286084.72    |          
                 |        |      |                       |           
3d4.(1D1).4p     | 2D*    |  3/2 |          289400.72    |          
                 |        |  5/2 |          289818.77    |          
