5d6.6p           | 112453*  |  7/2 |             112453.68    |       L19453
                 |          |      |                          |              
5d6.6p           | 113541*  |  9/2 |             113541.08    |       L19453
                 |          |      |                          |              
5d6.(3F1).6s     | 2F       |  7/2 |             114695.13    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 6D*      |  3/2 |             117710.54    |       L19453
                 |          |  5/2 |             118763.53    |       L19453
                 |          |      |                          |              
5d6.6p           | 120162*  |  5/2 |             120162.27    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 6D*      |  1/2 |             122295.1     |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 6F*      |  7/2 |             122801.56    |       L19453
                 |          |  1/2 |             124255.5     |       L19453
                 |          |  3/2 |             124902.73    |       L19453
                 |          |      |                          |              
5d6.6p           | 128487*  |  7/2 |             128487.94    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 6D*      |  9/2 |             128537.91    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 6F*      | 11/2 |             130182.06    |       L19453
                 |          |      |                          |              
5d6.6p           | 130816*  |  9/2 |             130816.05    |       L19453
                 |          |      |                          |              
5d6.6p           | 133656*  |  3/2 |             133656.04    |       L19453
                 |          |      |                          |              
5d6.6p           | 133846*  | 11/2 |             133846.55    |       L19453
                 |          |      |                          |              
5d6.6p           | 134405*  |  7/2 |             134405.36    |       L19453
                 |          |      |                          |              
5d6.(5D).6p      | 4P*      |  5/2 |             134579.95    |       L19453
                 |          |      |                          |              
5d6.6p           | 135433*  | 13/2 |             135433.89    |       L19453
                 |          |      |                          |              
5d6.6p           | 136035*  |  7/2 |             136035.60    |       L19453
                 |          |      |                          |              
5d6.6p           | 136092*  |  9/2 |             136092.09    |       L19453
                 |          |      |                          |              
5d6.6p           | 136451*  |  5/2 |             136451.00    |       L19453
                 |          |      |                          |              
5d6.6p           | 136780*  |  5/2 |             136780.55    |       L19453
                 |          |      |                          |              
5d6.6p           | 137235*  |  7/2 |             137235.54    |       L19453
                 |          |      |                          |              
5d6.(3H).6p      | 4G*      | 11/2 |             137472.25    |       L19453
                 |          |      |                          |              
5d6.6p           | 137499*  |  3/2 |             137499.65    |       L19453
                 |          |      |                          |              
5d6.6p           | 138115*  |  1/2 |             138115.76    |       L19453
                 |          |      |                          |              
