3d2.4s.(4F).5p         | 5F*       |   1 |            41853.813     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3G        |   3 |            41867.7812    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5D      |   0 |            41871.365     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | g 3F      |   2 |            41871.8642    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5D      |   1 |            41901.3771    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5G      |   5 |            41903.4757    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5F*       |   2 |            41906.402     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5H      |   4 |            41917.1924    |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | u 3P*     |   2 |            41928.526     |    L17885
                       |           |   1 |            41943.884     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5D      |   2 |            41958.4833    |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | u 3P*     |   0 |            41959.293     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5G*       |   5 |            41962.232     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3G        |   4 |            41975.4249    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5F*       |   3 |            41985.701     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | g 3F      |   3 |            41988.5259    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5H      |   5 |            42017.9751    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5G      |   6 |            42019.1293    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5D      |   3 |            42052.7717    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5F*       |   4 |            42092.236     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5G*       |   6 |            42100.717     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | g 3F      |   4 |            42107.0545    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5H      |   6 |            42123.7378    |    L17885
                       |           |     |                          |           
3d.4s2.4p              | q 3D*     |   1 |            42146.348     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5D*       |   0 |            42152.472     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3G        |   5 |            42169.6496    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5D      |   4 |            42184.6261    |    L17885
                       |           |     |                          |           
3d2.4s.4d              | 3P        |   1 |            42190.8217    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5D*       |   1 |            42193.949     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5H      |   7 |            42205.377     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | q 3D*     |   2 |            42206.755     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3H        |   4 |            42214.7689    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5F*       |   5 |            42225.880     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5D*       |   2 |            42269.727     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | q 3D*     |   3 |            42311.264     |    L17885
                       |           |     |                          |           
3d2.4s.4d              | 3P        |   2 |            42366.7719    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3H        |   5 |            42368.0934    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5D*       |   3 |            42376.495     |    L17885
                       |           |   4 |            42505.322     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3H        |   6 |            42530.2894    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5P      |   1 |            42611.4510    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3D        |   1 |            42654.3674    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5P      |   2 |            42723.9855    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3D        |   2 |            42770.1745    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5P      |   3 |            42858.7661    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | 3D        |   3 |            42906.2727    |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | 1D*       |   2 |            42927.337     |    L17885
                       |           |     |                          |           
3d4                    | 3F1       |   2 |            42957.092     |    L17885
                       |           |   3 |            42965.9148    |    L17885
                       |           |   4 |            43009.4937    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | g 5F      |   1 |            43033.933     |    L17885
                       |           |   2 |            43080.9622    |    L17885
                       |           |   3 |            43148.1922    |    L17885
                       |           |   4 |            43231.9903    |    L17885
                       |           |   5 |            43330.0066    |    L17885
                       |           |     |                          |           
3d4                    | 1F        |   3 |            43411.059     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | r 3F*     |   2 |            43467.537     |    L17885
                       |           |   3 |            43583.355     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5G        |   2 |            43592.1203    |    L17885
                       |           |   3 |            43636.5388    |    L17885
                       |           |   4 |            43699.0187    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | r 3F*     |   4 |            43744.793     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5G        |   5 |            43781.8353    |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | u 1D*     |   2 |            43799.471     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5G*       |   2 |            43814.152     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | f 5H      |   3 |            43843.741     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5G*       |   3 |            43868.255     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5F        |   1 |            43875.514     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5G        |   6 |            43888.0708    |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | f 5H      |   4 |            43901.6548    |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5F        |   2 |            43914.0450    |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5G*       |   4 |            43940.689     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5F        |   3 |            43969.6460    |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | f 5H      |   5 |            43971.5467    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | o 3D*     |   1 |            43975.715     |    L17885
                       |           |     |                          |           
3d3.4d                 | 5P        |   2 |            43980.372     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5G*       |   5 |            44031.244     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5F        |   4 |            44040.0941    |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | f 5H      |   6 |            44051.3351    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | o 3D*     |   2 |            44079.761     |    L17885
                       |           |     |                          |           
3d3.4d                 | 5P        |   3 |            44110.592     |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | 5F        |   5 |            44122.9818    |    L17885
                       |           |     |                          |           
3d3.(4F).4d            | f 5H      |   7 |            44134.658     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5G*       |   6 |            44139.772     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 3G*       |   3 |            44155.596     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(1P*)   | x 1H*     |   5 |            44163.232     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5F*       |   1 |            44182.898     |    L17885
                       |           |   2 |            44222.420     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | o 3D*     |   3 |            44233.620     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 3G*       |   4 |            44257.098     |    L17885
                       |           |     |                          |           
3d3.(4F).5p            | 5F*       |   3 |            44284.231     |    L17885
                       |           |     |                          |           
