                     |        |   2 |    83359.20       |              0.09  |  78                        :    14  3d5.(a 2F).4s  3F   |      L11223
                     |        |   1 |    83647.26       |              0.09  |  67                        :    25  3d5.(a 2D).4s  3D   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4s          | 1I     |   6 |    83429.86       |              0.10  |  99                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4s        | 3F     |   4 |    84159.77       |              0.09  |  97                                                     |      L11223
                     |        |   2 |    84370.15       |              0.09  |  62                        :    17  3d5.(a 2D).4s  3D   |      L11223
                     |        |   3 |    84672.08       |              0.09  |  77                        :    14  3d5.(a 2D).4s  3D   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4s        | 1D     |   2 |    86847.15       |              0.09  |  66                        :    20  3d5.(c 2D).4s  1D   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4s        | 1F     |   3 |    87902.06       |              0.09  |  93                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4s          | 3H     |   4 |    88664.08       |              0.09  |  87                        :    11  3d5.(a 2G).4s  3G   |      L11223
                     |        |   5 |    88694.86       |              0.09  |  86                        :    14  3d5.(a 2G).4s  3G   |      L11223
                     |        |   6 |    88923.29       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(6S).4p          | 5P*    |   3 |    89085.20       |              0.09  |  98                                                     |      L11223
                     |        |   2 |    89334.88       |              0.09  |  98                                                     |      L11223
                     |        |   1 |    89491.77       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2G).4s        | 3G     |   3 |    89697.74       |              0.09  |  90                        :     7  3d5.(4F).4s    3F   |      L11223
                     |        |   4 |    89783.78       |              0.09  |  76                        :    12  3d5.(4F).4s    3F   |      L11223
                     |        |   5 |    89908.09       |              0.09  |  83                        :    14  3d5.(2H).4s    3H   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4s          | 3F     |   2 |    90423.78       |              0.09  |  97                                                     |      L11223
                     |        |   4 |    90472.61       |              0.09  |  84                        :    12  3d5.(a 2G).4s  3G   |      L11223
                     |        |   3 |    90484.18       |              0.09  |  92                        :     7  3d5.(2G).4s    3G   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4s          | 1H     |   5 |    92523.93       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2F).4s        | 3F     |   4 |    93388.77       |              0.09  |  60                        :    39  3d5.(a 2G).4s  1G   |      L11223
                     |        |   3 |    93392.55       |              0.09  |  99                                                     |      L11223
                     |        |   2 |    93413.07       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2G).4s        | 1G     |   4 |    93512.71       |              0.09  |  57                        :    38  3d5.(b 2F).4s  3F   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2F).4s        | 1F     |   3 |    97041.49       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2S).4s          | 3S     |   1 |    98662.78       |              0.10  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2S).4s          | 1S     |   0 |   102410.35       |              0.15  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2D).4s        | 3D     |   1 |   105895.34       |              0.09  | 100                                                     |      L11223
                     |        |   2 |   105906.27       |              0.09  | 100                                                     |      L11223
                     |        |   3 |   105929.25       |              0.09  |  99                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2D).4s        | 1D     |   2 |   109570.98       |              0.09  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 5G*    |   2 |   113584.31       |              0.09  |  96                                                     |      L11223
                     |        |   3 |   113605.74       |              0.09  |  91                        :     6  3d5.(4G).4p    5H*  |      L11223
                     |        |   4 |   113635.56       |              0.09  |  88                        :     9  3d5.(4G).4p    5H*  |      L11223
                     |        |   5 |   113677.29       |              0.10  |  87                        :    10  3d5.(4G).4p    5H*  |      L11223
                     |        |   6 |   113739.99       |              0.11  |  90                        :     7  3d5.(4G).4p    5H*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2G).4s        | 3G     |   5 |   114325.49       |              0.09  | 100                                                     |      L11223
                     |        |   4 |   114340.26       |              0.09  | 100                                                     |      L11223
                     |        |   3 |   114352.21       |              0.09  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 5H*    |   3 |   114948.83       |              0.10  |  93                        :     6  3d5.(4G).4p    5G*  |      L11223
                     |        |   4 |   115111.37       |              0.10  |  90                        :     9  3d5.(4G).4p    5G*  |      L11223
                     |        |   5 |   115290.31       |              0.11  |  89                        :    10  3d5.(4G).4p    5G*  |      L11223
                     |        |   6 |   115474.52       |              0.12  |  91                        :     8  3d5.(4G).4p    5G*  |      L11223
                     |        |   7 |   115642.70       |              0.14  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 5F*    |   5 |   116316.85       |              0.10  |  90                                                     |      L11223
                     |        |   4 |   116467.59       |              0.10  |  82                        :     7  3d5.(4D).4p    5F*  |      L11223
                     |        |   3 |   116475.56       |              0.09  |  59                        :    19  3d5.(4P).4p    5D*  |      L11223
                     |        |   2 |   116898.44       |              0.10  |  53                        :    32  3d5.(4P).4p    5D*  |      L11223
                     |        |   1 |   116937.86       |              0.10  |  73                        :    15  3d5.(4P).4p    5D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 5D*    |   0 |   116365.03       |              0.12  |  80                        :    19  3d5.(4D).4p    5D*  |      L11223
                     |        |   1 |   116380.24       |              0.10  |  63                        :    15  3d5.(4D).4p    5D*  |      L11223
                     |        |   2 |   116419.72       |              0.10  |  41                        :    34  3d5.(4G).4p    5F*  |      L11223
                     |        |   3 |   117068.82       |              0.10  |  50                        :    29  3d5.(4G).4p    5F*  |      L11223
                     |        |   4 |   117521.99       |              0.10  |  75                        :    14  3d5.(4D).4p    5D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 5S*    |   2 |   116975.21       |              0.09  |  91                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(b 2G).4s        | 1G     |   4 |   117950.17       |              0.09  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 3F*    |   2 |   118163.70       |              0.09  |  90                                                     |      L11223
                     |        |   4 |   118350.42       |              0.09  |  91                                                     |      L11223
                     |        |   3 |   118443.27       |              0.09  |  66                        :    17  3d5.(4P).4p    5P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 5P*    |   3 |   118246.74       |              0.09  |  45                        :    24  3d5.(4G).4p    3F*  |      L11223
                     |        |   2 |   118721.77       |              0.10  |  69                        :    19  3d5.(4D).4p    5P*  |      L11223
                     |        |   1 |   118868.04       |              0.10  |  78                        :    14  3d5.(4D).4p    5P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 3H*    |   6 |   118355.20       |              0.10  |  96                                                     |      L11223
                     |        |   5 |   118557.32       |              0.09  |  97                                                     |      L11223
                     |        |   4 |   118686.41       |              0.09  |  97                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 3P*    |   2 |   119697.69       |              0.10  |  65                        :    18  3d5.(4D).4p    3P*  |      L11223
                     |        |   1 |   119982.34       |              0.10  |  70                        :    18  3d5.(4D).4p    3P*  |      L11223
                     |        |   0 |   120180.06       |              0.15  |  75                        :    18  3d5.(4D).4p    3P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 5F*    |   1 |   120697.39       |              0.11  |  85                        :    11  3d5.(4G).4p    5F*  |      L11223
                     |        |   2 |   120826.34       |              0.10  |  84                        :     9  3d5.(4G).4p    5F*  |      L11223
                     |        |   3 |   121008.91       |              0.10  |  84                        :     8  3d5.(4G).4p    5F*  |      L11223
                     |        |   4 |   121241.90       |              0.10  |  87                        :     7  3d5.(4G).4p    5F*  |      L11223
                     |        |   5 |   121469.06       |              0.10  |  92                        :     6  3d5.(4G).4p    5F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4p          | 3G*    |   3 |   121919.84       |              0.10  |  94                                                     |      L11223
                     |        |   4 |   121941.47       |              0.09  |  95                                                     |      L11223
                     |        |   5 |   121949.78       |              0.09  |  95                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 3D*    |   3 |   122346.75       |              0.10  |  46                        :    35  3d5.(4D).4p    5D*  |      L11223
                     |        |   2 |   122898.90       |              0.10  |  47                        :    18  3d5.(4D).4p    5D*  |      L11223
                     |        |   1 |   122921.66       |              0.10  |  50                        :    22  3d5.(4D).4p    5P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 5D*    |   2 |   122628.53       |              0.09  |  42                        :    38  3d5.(4P).4p    3D*  |      L11223
                     |        |   3 |   122829.68       |              0.10  |  38 3d5.(4P).4p  3D*       :    29  3d5.(4D).4p    5D*  |      L11223
                     |        |   1 |   122843.34       |              0.10  |  41                        :    34  3d5.(4P).4p    3D*  |      L11223
                     |        |   4 |   122944.26       |              0.10  |  78                        :    16  3d5.(4P).4p    5D*  |      L11223
                     |        |   0 |   123455.87       |              0.11  |  74                        :    19  3d5.(4P).4p    5D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 5P*    |   1 |   123553.12       |              0.10  |  53                        :    22  3d5.(4D).4p    5D*  |      L11223
                     |        |   2 |   123697.15       |              0.10  |  54                        :    18  3d5.(4P).4p    5P*  |      L11223
                     |        |   3 |   123750.63       |              0.10  |  43                        :    23  3d5.(4P).4p    5P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 3D*    |   3 |   124854.11       |              0.09  |  71                        :    12  3d5.(4D).4p    5P*  |      L11223
                     |        |   2 |   124904.09       |              0.10  |  84                        :     7  3d5.(4F).4p    3D*  |      L11223
                     |        |   1 |   124955.09       |              0.10  |  83                        :     8  3d5.(4F).4p    3D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 3F*    |   4 |   125443.72       |              0.09  |  90                                                     |      L11223
                     |        |   3 |   125638.11       |              0.09  |  86                                                     |      L11223
                     |        |   2 |   125673.05       |              0.09  |  88                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4p          | 3S*    |   1 |   126390.74       |              0.11  |  95                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4p          | 3P*    |   0 |   128371.99       |              0.10  |  77                        :    19  3d5.(4P).4p    3P*  |      L11223
                     |        |   1 |   128605.74       |              0.09  |  73                        :    19  3d5.(4P).4p    3P*  |      L11223
                     |        |   2 |   128917.66       |              0.09  |  71                        :    22  3d5.(4P).4p    3P*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 3K*    |   6 |   129854.98       |              0.13  |  82                        :    16  3d5.(2I).4p    3I*  |      L11223
                     |        |   7 |   130040.60       |              0.12  |  72                        :    23  3d5.(2I).4p    3I*  |      L11223
                     |        |   8 |   130852.29       |              0.17  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4p          | 3I*    |   5 |   130256.42       |              0.09  |  82                        :    10  3d5.(2I).4p    1H*  |      L11223
                     |        |   6 |   130756.91       |              0.10  |  77                        :    17  3d5.(2I).4p    3K*  |      L11223
                     |        |   7 |   131035.14       |              0.13  |  74                        :    25  3d5.(2I).4p    3K*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2P).4s          | 3P     |   2 |   130857.17       |              0.14  | 100                                                     |      L11223
                     |        |   1 |   130862.08       |              0.14  | 100                                                     |      L11223
                     |        |   0 |   130869.1        |              0.5   | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 1D*    |   2 |   131445.12       |              0.09  |  23 3d5.(a 2F).4p 3F*      :    20  3d5.(a 2D).4p  3F*  |      L11223
