                       | 401*   |    2 |          40194.46    |         L3466
                       |        |      |                      |               
                       | 402*   |    2 |          40267.35    |         L3466
                       |        |      |                      |               
                       | 405    |    2 |          40513.55    |         L3466
                       |        |      |                      |               
                       | 406    |    1 |          40618.62    |         L3466
                       |        |    2 |          40636.26    |         L3466
                       |        |      |                      |               
                       | 407*   |    1 |          40704.12    |         L3466
                       |        |    3 |          40767.44    |         L3466
                       |        |      |                      |               
                       | 408    |    3 |          40882.06    |         L3466
                       |        |      |                      |               
                       | 409*   | 2,3? |          40957.54    |         L3466
                       |        |      |                      |               
                       | 411*   |    1 |          41193.97    |         L3466
                       |        |      |                      |               
                       | 4121   |    2 |          41211.03    |         L3466
                       |        |      |                      |               
                       | 4129   |    2 |          41298.36    |         L3466
                       |        |      |                      |               
                       | 414*   |    3 |          41422.43    |         L3466
                       |        |      |                      |               
                       | 414    |    3 |          41475.84    |         L3466
                       |        |      |                      |               
                       | 417    |    3 |          41739.36    |         L3466
                       |        |      |                      |               
                       | 417*   |    2 |          41768.67    |         L3466
                       |        |      |                      |               
                       | 418*   |    3 |          41824.58    |         L3466
                       |        |      |                      |               
                       | 420*   |    1 |          42036.37    |         L3466
                       |        |      |                      |               
                       | 420    |    3 |          42061.59    |         L3466
                       |        |      |                      |               
                       | 421    |    1 |          42111.70    |         L3466
                       |        |    4 |          42175.58    |         L3466
                       |        |      |                      |               
                       | 422    |    4 |          42283.48    |         L3466
                       |        |      |                      |               
                       | 423*   |    2 |          42302.12    |         L3466
                       |        |      |                      |               
                       | 423    |    3 |          42360.90    |         L3466
                       |        |      |                      |               
                       | 424*   |    1 |          42485.50    |         L3466
                       |        |      |                      |               
                       | 426    |    4 |          42670.81    |         L3466
                       |        |      |                      |               
                       | 427    |    2 |          42719.58    |         L3466
                       |        |    1 |          42782.55    |         L3466
                       |        |      |                      |               
                       | 428*   |    4 |          42871.02    |         L3466
                       |        |      |                      |               
                       | 430    |    2 |          43016.47    |         L3466
                       |        |      |                      |               
                       | 431*   |    3 |          43104.71    |         L3466
                       |        |      |                      |               
                       | 434    |    3 |          43489.28    |         L3466
                       |        |      |                      |               
                       | 435*   |    2 |          43517.85    |         L3466
                       |        |      |                      |               
                       | 435    |    1 |          43561.76    |         L3466
                       |        |      |                      |               
                       | 437*   |    1 |          43786.58    |         L3466
                       |        |      |                      |               
                       | 438    |    4 |          43838.30    |         L3466
                       |        |      |                      |               
                       | 438*   |    1 |          43844.63    |         L3466
                       |        |      |                      |               
                       | 441    |    5 |          44131.99    |         L3466
                       |        |      |                      |               
                       | 442*   |    1 |          44257.54    |         L3466
                       |        |      |                      |               
                       | 443    |    2 |          44375.42    |         L3466
                       |        |      |                      |               
                       | 447    |    4 |          44777.50    |         L3466
                       |        |      |                      |               
                       | 450    |    3 |          45083.28    |         L3466
                       |        |      |                      |               
                       | 451*   |    3 |          45112.22    |         L3466
                       |        |    2 |          45138.88    |         L3466
                       |        |      |                      |               
                       | 452    |    2 |          45254.91    |         L3466
                       |        |    1 |          45270.13    |         L3466
                       |        |      |                      |               
                       | 453    |    3 |          45364.84    |         L3466
                       |        |      |                      |               
                       | 454*   |    3 |          45455.15    |         L3466
                       |        |      |                      |               
                       | 454    |    1 |          45474.60    |         L3466
                       |        |      |                      |               
                       | 456    |    3 |          45649.36    |         L3466
                       |        |      |                      |               
                       | 457    |    2 |          45728.62    |         L3466
                       |        |      |                      |               
                       | 457*   |    1 |          45799.48    |         L3466
                       |        |      |                      |               
