                     |        |  3/2 |           33343.18    | L149,L14280
                     |        |  1/2 |           33480.47    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(5S).5p  | 4P*    |  5/2 |           34515.88    | L149,L14280
                     |        |  3/2 |           34942.64    | L149,L14280
                     |        |  1/2 |           35276.45    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).6s  | e 8S   |  7/2 |           37612.40    |        L149
                     |        |      |                       |             
4d6.(5D).5p          | 6P*    |  5/2 |           38216.75    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(5S).5p  | 6P*    |  7/2 |           38240.73    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6D*    |  3/2 |           38319.60    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6P*    |  3/2 |           38556.71    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6D*    |  5/2 |           38600.58    | L149,L14280
                     |        |  7/2 |           38766.20    | L149,L14280
                     |        |  9/2 |           39185.01    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 6F*    | 11/2 |           39236.52    |      L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6S*    |  5/2 |           39459.89    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 4F*    |  7/2 |           39567.76    | L149,L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 4P*    |  3/2 |           39576.54    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).6s  | e 6S   |  5/2 |           39598.86    |        L149
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 6F*    |  9/2 |           39763.38    | L149,L14280
                     |        |  7/2 |           39831.60    |      L14280
                     |        |  3/2 |           39844.02    | L149,L14280
                     |        |  5/2 |           39891.05    | L149,L14280
                     |        |      |                       |             
4d6.(3F).5p          | 4F*    |  5/2 |           39977.39    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4F*    |  3/2 |           40096.61    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4H*    |  7/2 |           40236.26    | L149,L14280
                     |        | 11/2 |           40241.58    | L149,L14280
