4f.(2F*).5d2.(3P)          | 4F*       |  5/2 |          11325.781    |            
                           |           |  7/2 |          11340.598    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4D*       |  7/2 |          11387.731    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2I        | 13/2 |          11454.701    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4G        | 11/2 |          11458.353    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2H*       | 11/2 |          11742.245    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4H        | 11/2 |          11759.467    |            
                           |           |      |                       |             
4f.5d.(3G*).6s             | *         |  7/2 |          11949.189    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 2D*       |  5/2 |          12057.107    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  7/2 |          12097.276    |            
                           |           |      |                       |             
4f.(2F*).6s2               | *         |  7/2 |          12260.088    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2K*       | 13/2 |          12326.417    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 2H*       |  9/2 |          12365.806    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4H        |  7/2 |          12456.746    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 2D*       |  3/2 |          12466.430    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4F        |  3/2 |          12704.634    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | *         | 11/2 |          12751.782    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4F*       |  9/2 |          12762.641    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2F*       |  5/2 |          13012.095    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4H        | 13/2 |          13027.758    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4H        |  9/2 |          13117.922    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2G        |  7/2 |          13217.976    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4P        |  3/2 |          13256.701    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4F        |  5/2 |          13268.218    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4P        |  5/2 |          13436.858    |            
                           |           |  1/2 |          13503.508    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2F*       |  7/2 |          13515.853    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  9/2 |          13527.239    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  9/2 |          13659.329    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4G        |  5/2 |          13675.722    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | 2D*       |  3/2 |          13758.670    |            
                           |           |      |                       |             
4f.5d.(3P*).6s             | *         |  3/2 |          13784.834    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  3/2 |          14049.761    |            
                           |           |      |                       |             
4f2.(3H).5d                |           |  7/2 |          14097.689    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  7/2 |          14252.178    |            
                           |           |      |                       |             
4f2.(3F).5d                | 4H        | 11/2 |          14276.298    |            
                           |           |      |                       |             
4f.5d.(3P*).6s             | 2P*       |  1/2 |          14315.932    |            
                           |           |      |                       |             
4f2.(3H).5d                |           |  9/2 |          14387.112    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2K*       | 15/2 |          14404.40     |            
                           |           |      |                       |             
4f.(2F*).5d2.(1D)          | *         |  5/2 |          14481.930    |            
                           |           |      |                       |             
4f2.(1G).5d                |           | 11/2 |          14625.503    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  3/2 |          14727.540    |            
                           |           |      |                       |             
4f2.(3F).5d                |           |  5/2 |          14739.761    |            
                           |           |      |                       |             
4f2.(1G).5d                |           |  7/2 |          14827.623    |            
                           |           |      |                       |             
