2s2.2p3            | 4S*    |  3/2 |              0.0     |     L3462
                   |        |  9/2 |         387726.84    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 2P     |  3/2 |         389525.55    |          
                   |        |  1/2 |         389737.63    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 4D     |  5/2 |         390077.80    |          
                   |        |  3/2 |         390080.30    |          
                   |        |  1/2 |         390120.77    |          
                   |        |  7/2 |         390210.43    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 4P     |  5/2 |         390834.60    |          
                   |        |  3/2 |         390976.35    |          
                   |        |  1/2 |         391047.54    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 2F     |  5/2 |         391257.42    |          
                   |        |  7/2 |         391626.91    |          
                   |        |      |                      |           
2s.2p3.(5S*).3s    | 6S*    |  5/2 |         391931.58    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 2D     |  3/2 |         395268.13    |          
                   |        |  5/2 |         395385.66    |          
                   |        |      |                      |           
2p5                | 2P*    |  3/2 |         401205.78    |          
                   |        |  1/2 |         401724.33    |          
                   |        |      |                      |           
2s.2p3.(5S*).3s    | 4S*    |  3/2 |         404780.82    |          
                   |        |      |                      |           
2s2.2p2.(1S).3p    | 2P*    |  1/2 |         406904.38    |          
                   |        |  3/2 |         406908.95    |          
                   |        |      |                      |           
2s2.2p2.(1D).3d    | 2F     |  7/2 |         413143.86    |          
                   |        |  5/2 |         413195.00    |          
                   |        |      |                      |           
2s2.2p2.(1D).3d    | 2G     |  9/2 |         414894.89    |          
                   |        |  7/2 |         414897.72    |          
                   |        |      |                      |           
2s2.2p2.(3P).4s    | 4P     |  1/2 |         415184.12    |          
                   |        |  3/2 |         415394.51    |          
                   |        |  5/2 |         415720.86    |          
                   |        |      |                      |           
2s2.2p2.(1D).3d    | 2D     |  3/2 |         416168.30    |          
                   |        |  5/2 |         416185.42    |          
                   |        |      |                      |           
2s2.2p2.(3P).4s    | 2P     |  1/2 |         417585.35    |          
                   |        |  3/2 |         417970.80    |          
                   |        |      |                      |           
2s2.2p2.(1D).3d    | 2P     |  1/2 |         418188.48    |          
                   |        |  3/2 |         418248.56    |          
                   |        |      |                      |           
2s2.2p2.(1D).3d    | 2S     |  1/2 |         421005.36    |          
                   |        |      |                      |           
2s.2p3.(5S*).3p    | 6P     |  3/2 |         425261.06    |          
                   |        |  5/2 |         425282.70    |          
                   |        |  7/2 |         425318.80    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 2S*    |  1/2 |         425390.01    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 4D*    |  1/2 |         426431.03    |          
                   |        |  3/2 |         426558.91    |          
                   |        |  5/2 |         426733.04    |          
                   |        |  7/2 |         426989.57    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 4P*    |  1/2 |         427459.37    |          
                   |        |  3/2 |         427545.31    |          
                   |        |  5/2 |         427731.85    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 2D*    |  3/2 |         430012.48    |          
                   |        |  5/2 |         430374.75    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 4S*    |  3/2 |         431432.27    |          
                   |        |      |                      |           
2s2.2p2.(3P).4p    | 2P*    |  1/2 |         431967.93    |          
                   |        |  3/2 |         432060.64    |          
                   |        |      |                      |           
2s.2p3.(5S*).3p    | 4P     |  5/2 |         434548.72    |          
                   |        |  3/2 |         434569.80    |          
                   |        |  1/2 |         434584.16    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 4F     |  3/2 |         440069.51    |          
                   |        |  5/2 |         440202.48    |          
                   |        |  7/2 |         440359.26    |          
                   |        |  9/2 |         440582.12    |          
                   |        |      |                      |           
2s2.2p2.(1D).4s    | 2D     |  3/2 |         440825.13    |          
                   |        |  5/2 |         440828.55    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 2P     |  3/2 |         441158.60    |          
                   |        |  1/2 |         441167.40    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 4D     |  5/2 |         441276.72    |          
                   |        |  1/2 |         441315.80    |          
                   |        |  3/2 |         441385.88    |          
                   |        |  7/2 |         441406.46    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 4P     |  5/2 |         442147.19    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 2F     |  5/2 |         442278.93    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 4P     |  3/2 |         442294.31    |          
                   |        |  1/2 |         442370.28    |          
                   |        |      |                      |           
2s2.2p2.(3P).4d    | 2F     |  7/2 |         442636.27    |          
                   |        |      |                      |           
2s2.2p2.(1S).3d    | 2D     |  3/2 |         442694.58    |          
                   |        |  5/2 |         442748.85    |          
                   |        |      |                      |           
