                    |        |  3/2 |         43435.40    |            
                    |        |      |                     |             
4s2.4d              | 2D     |  3/2 |         43597.16    |            
                    |        |  5/2 |         43658.53    |            
                    |        |      |                     |             
3d.4s.(3D).6s       | 4D     |  1/2 |         43809.76    |            
                    |        |  3/2 |         43814.47    |            
                    |        |      |                     |             
3d2.(1G).4p         | 2F*    |  5/2 |         43830.12    |            
                    |        |  7/2 |         43860.12    |            
                    |        |      |                     |             
3d.4s.(3D).6s       | 4D     |  5/2 |         43898.31    |            
                    |        |  7/2 |         43988.20    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4P     |  1/2 |         44030.34    |            
                    |        |      |                     |             
3d2.(3P).4p         | 2P*    |  1/2 |         44105.45    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4P     |  3/2 |         44107.25    |            
                    |        |      |                     |             
3d2.(3P).4p         | 2P*    |  3/2 |         44189.29    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4P     |  5/2 |         44238.23    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 2P     |  3/2 |         44594.97    |            
                    |        |  1/2 |         44690.65    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4F     |  3/2 |         44823.21    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 2F     |  5/2 |         44838.56    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4F     |  5/2 |         44909.55    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 2F     |  7/2 |         44941.81    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4F     |  7/2 |         45016.43    |            
                    |        |  9/2 |         45125.73    |            
                    |        |      |                     |             
3d.4s.(1D).4d       | 2S     |  1/2 |         45514.98    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4D     |  1/2 |         45574.64    |            
                    |        |  3/2 |         45605.80    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4G*    |  5/2 |         45610.52    |            
                    |        |  7/2 |         45645.10    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4D     |  5/2 |         45659.09    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4G*    |  9/2 |         45691.26    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4G     |  5/2 |         45715.79    |            
                    |        |      |                     |             
3d.(2D).4p2.(3P)    | 4D     |  7/2 |         45737.17    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4G     |  7/2 |         45752.28    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4G*    | 11/2 |         45761.23    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4G     |  9/2 |         45804.10    |            
                    |        |      |                     |             
                    | *      |      |         45843.64    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4G     | 11/2 |         45870.92    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4D     |  1/2 |         45875.18    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4H     |  7/2 |         45878.06    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4G     |  5/2 |         45886.66    |            
                    |        |      |                     |             
                    | *      |  3/2 |         45898.61    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4D     |  3/2 |         45900.04    |            
                    |        |      |                     |             
                    | *      |      |         45904.84    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4H     |  9/2 |         45925.09    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4D     |  1/2 |         45927.81    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4G     |  7/2 |         45931.16    |            
                    |        |      |                     |             
                    | *      |      |         45937.12    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4D     |  5/2 |         45945.09    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4D     |  3/2 |         45947.35    |            
                    |        |      |                     |             
                    | *      |      |         45972.70    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4D     |  5/2 |         45983.23    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4H     | 11/2 |         45985.91    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4G     |  9/2 |         45988.93    |            
                    |        |      |                     |             
                    | *      |      |         46008.23    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4D     |  7/2 |         46016.63    |            
                    |        |      |                     |             
                    | *      |      |         46019.88    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4D     |  7/2 |         46042.69    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4G     | 11/2 |         46053.54    |            
                    |        |      |                     |             
3d2.(3F).4d         | 4H     | 13/2 |         46054.28    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4F*    |  3/2 |         46206.80    |            
                    |        |  5/2 |         46255.40    |            
                    |        |  7/2 |         46266.21    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4F     |  3/2 |         46329.23    |            
                    |        |  5/2 |         46354.41    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4F*    |  9/2 |         46369.23    |            
                    |        |      |                     |             
                    | 2F     |  5/2 |         46378.86    |            
                    |        |      |                     |             
3d.4s.(3D).5d       | 4F     |  7/2 |         46403.30    |            
                    |        |  9/2 |         46458.64    |            
                    |        |      |                     |             
                    | 2F     |  7/2 |         46459.66    |            
                    |        |      |                     |             
3d2.(3F).5p         | 4D*    |  1/2 |         46485.47    |            
