2s2.2p5             | 2P*    | 3/2 |               0.00    |      L3462
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 4D*    | 7/2 |          129659.50    |           
                    |        | 5/2 |          129772.83    |           
                    |        | 3/2 |          129937.33    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 2D*    | 5/2 |          130016.10    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 4D*    | 1/2 |          130059.40    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 2D*    | 3/2 |          130141.65    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 2S*    | 1/2 |          130149.07    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 4S*    | 3/2 |          130221.12    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 2P*    | 3/2 |          130374.86    |           
                    |        | 1/2 |          130489.93    |           
                    |        |     |                       |            
2s2.2p4.(3P).5s     | 4P     | 5/2 |          132595.50    |           
                    |        | 3/2 |          132744.97    |           
                    |        |     |                       |            
2s2.2p4.(3P).5s     | 2P     | 3/2 |          132998.38    |           
                    |        |     |                       |            
2s2.2p4.(3P).5s     | 4P     | 1/2 |          133009.13    |           
                    |        |     |                       |            
2s2.2p4.(3P).5s     | 2P     | 1/2 |          133223.25    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4D     | 7/2 |          133544.54    |           
                    |        | 5/2 |          133557.43    |           
                    |        | 3/2 |          133577.40    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2D     | 5/2 |          133583.57    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4F     | 9/2 |          133605.61    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2F     | 7/2 |          133606.51    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4D     | 1/2 |          133613.41    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2D     | 3/2 |          133623.85    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4P     | 1/2 |          133659.12    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2P     | 1/2 |          133910.39    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4P     | 3/2 |          133919.49    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4F     | 7/2 |          133923.07    |           
                    |        | 5/2 |          133931.81    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4P     | 5/2 |          133965.68    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 4F     | 3/2 |          133971.38    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2F     | 5/2 |          134084.75    |           
                    |        |     |                       |            
2s2.2p4.(3P).4d     | 2P     | 3/2 |          134091.28    |           
                    |        |     |                       |            
2s2.2p4.(3P).5p     | 4D*    | 7/2 |          134256.69    |           
                    |        |     |                       |            
2s2.2p4.(3P).6s     | 4P     | 5/2 |          135603.85    |           
                    |        | 3/2 |          135685.27    |           
                    |        |     |                       |            
2s2.2p4.(3P).6s     | 2P     | 3/2 |          135966.39    |           
                    |        |     |                       |            
2s2.2p4.(3P).6s     | 4P     | 1/2 |          135995.27    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4D     | 7/2 |          136070.88    |           
                    |        | 5/2 |          136078.24    |           
                    |        | 3/2 |          136089.84    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2D     | 5/2 |          136092.24    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4F     | 9/2 |          136101.06    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2F     | 7/2 |          136101.65    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4D     | 1/2 |          136109.43    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2D     | 3/2 |          136113.81    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4P     | 1/2 |          136124.30    |           
                    |        |     |                       |            
2s2.2p4.(3P).6s     | 2P     | 1/2 |          136151.21    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2P     | 1/2 |          136420.06    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4P     | 3/2 |          136426.80    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4F     | 7/2 |          136429.13    |           
                    |        | 5/2 |          136434.85    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4P     | 5/2 |          136451.49    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 4F     | 3/2 |          136455.08    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2F     | 5/2 |          136584.45    |           
                    |        |     |                       |            
2s2.2p4.(3P).5d     | 2P     | 3/2 |          136587.99    |           
                    |        |     |                       |            
2s2.2p4.(3P).7s     | 4P     | 5/2 |          137174.80    |           
                    |        | 3/2 |          137222.19    |           
                    |        |     |                       |            
2s2.2p4.(3P).6d     | 4D     | 7/2 |          137438.47    |           
                    |        | 5/2 |          137443.04    |           
                    |        | 3/2 |          137449.96    |           
                    |        |     |                       |            
2s2.2p4.(3P).6d     | 2D     | 5/2 |          137451.34    |           
                    |        |     |                       |            
2s2.2p4.(3P).6d     | 4F     | 9/2 |          137455.68    |           
                    |        |     |                       |            
2s2.2p4.(3P).6d     | 2F     | 7/2 |          137456.02    |           
                    |        |     |                       |            
2s2.2p4.(3P).6d     | 2D     | 3/2 |          137462.71    |           
                    |        |     |                       |            
