3d10.4s2.4p           | 2P*    | 1/2 |               0.000    |    L12180
4s2.58p               | 2P*    | 1/2 |           48352.45     |          
                      |        | 3/2 |           48352.45     |          
                      |        |     |                        |           
4s2.59p               | 2P*    | 1/2 |           48353.64     |          
                      |        | 3/2 |           48353.64     |          
                      |        |     |                        |           
4s2.60p               | 2P*    | 1/2 |           48354.81     |          
                      |        | 3/2 |           48354.81     |          
                      |        |     |                        |           
4s2.61p               | 2P*    | 3/2 |           48355.97     |          
                      |        | 1/2 |           48355.97     |          
                      |        |     |                        |           
4s2.62p               | 2P*    | 1/2 |           48357.01     |          
                      |        | 3/2 |           48357.01     |          
                      |        |     |                        |           
4s2.63p               | 2P*    | 1/2 |           48357.97     |          
                      |        | 3/2 |           48357.97     |          
                      |        |     |                        |           
4s2.64p               | 2P*    | 1/2 |           48358.98     |          
                      |        | 3/2 |           48358.98     |          
                      |        |     |                        |           
4s2.65p               | 2P*    | 3/2 |           48359.81     |          
                      |        | 1/2 |           48359.81     |          
                      |        |     |                        |           
4s2.66p               | 2P*    | 1/2 |           48360.69     |          
                      |        | 3/2 |           48360.69     |          
                      |        |     |                        |           
4s2.67p               | 2P*    | 1/2 |           48361.66     |          
                      |        | 3/2 |           48361.66     |          
                      |        |     |                        |           
4s2.68p               | 2P*    | 1/2 |           48362.35     |          
                      |        | 3/2 |           48362.35     |          
                      |        |     |                        |           
4s2.69p               | 2P*    | 3/2 |           48363.18     |          
                      |        | 1/2 |           48363.18     |          
                      |        |     |                        |           
4s2.70p               | 2P*    | 1/2 |           48363.88     |          
                      |        | 3/2 |           48363.88     |          
