                                        |            |      |                     |           
                                        | *          | 13/2 |        22222.58     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        22223.87     |          
                                        |            |      |                     |           
                                        | *          |  1/2 |        22264.59     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        22278.93     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | 8I*?       | 19/2 |        22311.58     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        22327.98     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        22382.12     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        22394.69     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        22492.98     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        22524.15     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        22556.78     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        22617.87     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        22644.55     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        22663.07     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        22706.51     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        22727.88     |          
                                        |            |      |                     |           
                                        | *          | 17/2 |        22736.76     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        22754.99     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        22830.55     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        22838.79     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        22842.94     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        22868.81     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        22927.63     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        22933.38     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        22959.01     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        23019.01     |          
                                        |            |      |                     |           
                                        |            | 15/2 |        23031.84     |          
                                        |            |      |                     |           
4f9.(6H*<15/2>).6s.6p.(1P*<1>)          | (15/2,1)   | 13/2 |        23043.43     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        23103.41     |          
                                        |            |      |                     |           
