                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       |  3/2 |          25960.073    |            
                           |           |  5/2 |          26211.912    |            
                           |           |      |                       |             
4f8.(5D3).6s?              | 6D?       |  9/2 |          26351.767    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        |  7/2 |          26372.991    |            
                           |           |      |                       |             
4f7.(8S*).6s.6p.(3P*)      | 10P       |  9/2 |          26455.446    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       |  7/2 |          26595.222    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        | 11/2 |          26639.861    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        | 13/2 |          26931.602    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        |  5/2 |          27130.397    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       |  9/2 |          27162.224    |            
                           |           |      |                       |             
4f8.(5D3).6s?              | 4D?       |  7/2 |          27273.505    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10D       |  5/2 |          27297.741    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8P        |  7/2 |          27417.652    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        |  9/2 |          27546.000    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        |  3/2 |          27662.215    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10F       | 11/2 |          27864.534    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10D       |  7/2 |          27988.074    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6F        |  1/2 |          27989.933    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        | 11/2 |          28124.301    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        |  7/2 |          28220.168    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6D        |  9/2 |          28442.719    |            
                           |           |      |                       |             
4f7.(8S*).6s.6p.(3P*)      | 10P       | 11/2 |          28502.312    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6D        |  7/2 |          28561.734    |            
                           |           |      |                       |             
4f8.(7F).5d                | 8P        |  5/2 |          28629.017    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        |  5/2 |          28790.113    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6H        |  9/2 |          28876.600    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      | 10D       |  9/2 |          29045.291    |            
                           |           |      |                       |             
4f8.(7F).5d                | 6G        |  3/2 |          29146.959    |            
                           |           |      |                       |             
4f7.(8S*).5d (9D*).6p      |           |  5/2 |          29197.887    |            
                           |           |      |                       |             
4f7.(8S*).5d2.(1S)         | 8S*       |  7/2 |          29224.352    |            
                           |           |      |                       |             
