4s2.4p3          | 4S*    | 3/2 |               0.0    |    L12196
                 |        |     |                      |           
4s2.4p2.(3P).5p  | 4S*    | 3/2 |          246612.9    |          
                 |        |     |                      |           
4s2.4p2.(3P).5p  | 2D*    | 5/2 |          249206.2    |          
                 |        |     |                      |           
4s2.4p2.(3P).5p  | 2P*    | 3/2 |          250173.8    |          
                 |        | 1/2 |          250896.7    |          
                 |        |     |                      |           
4s2.4p2.(1D).5p  | 2F*    | 5/2 |          257142.7    |          
                 |        |     |                      |           
4s2.4p2.(1D).5p  | 2D*    | 3/2 |          258355.4    |          
                 |        |     |                      |           
4s2.4p2.(1D).5p  | 2F*    | 7/2 |          258509.6    |          
                 |        |     |                      |           
4s2.4p2.(1D).5p  | 2D*    | 5/2 |          258763.2    |          
                 |        |     |                      |           
4s2.4p2.(1D).5p  | 2P*    | 1/2 |          263160.1    |          
                 |        | 3/2 |          265447.4    |          
                 |        |     |                      |           
4s2.4p2.(1S).5p  | 2P*    | 3/2 |          278967.3    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 4F     | 3/2 |          290606.4    |          
                 |        | 7/2 |          294367.2    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 2P     | 3/2 |          294632.3    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 4D     | 1/2 |          295268.2    |          
                 |        |     |                      |           
4s2.4p2.(3P).6s  | 4P     | 1/2 |          296713.3    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 2F     | 5/2 |          296954.4    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 4D     | 7/2 |          298052.4    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 4P     | 3/2 |          299255.8    |          
                 |        |     |                      |           
4s2.4p2.(3P).6s  | 4P     | 3/2 |          299952.2    |          
                 |        |     |                      |           
4s2.4p2.(3P).6s  | 2P     | 1/2 |          300899.4    |          
                 |        |     |                      |           
4s2.4p2.(3P).5d  | 2F     | 7/2 |          301796.5    |          
                 |        |     |                      |           
4s2.4p2.(3P).6s  | 4P     | 5/2 |          303231.3    |          
                 |        |     |                      |           
4s2.4p2.(3P).6s  | 2P     | 3/2 |          304543.7    |          
                 |        |     |                      |           
4s2.4p2.(1D).6s  | 2D     | 5/2 |          315802.1    |          
                 |        | 3/2 |          315892.9    |          
