4f11.(4I*<13/2>).6s.6p.(3P*<2>)            | (13/2,2)   |         15/2 |       23834.94    |     L3974
                                           |            |          9/2 |       23861.17    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(1D)                      | 4K*        |         17/2 |       23885.74    |     L3974
                                           |            |              |                   |           
4f10.(5I<7>).6s2.6p<1/2>                   | (7,1/2)*   |         13/2 |       23942.71    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.6p.(3P*<2>)            | (13/2,2)   |         11/2 |       23946.16    |     L3974
                                           |            |         13/2 |       23955.69    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7M).6s                 |            |         13/2 |       24006.23    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.6p.(1P*<1>)            | (15/2,1)   |         13/2 |       24014.22    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         15/2 |       24112.04    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         17/2 |       24115.17    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |         11/2 |       24141.21    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3P) (7H).6s                 |            |         17/2 |       24263.96    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |          9/2 |       24355.64    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(1D)                      | 4I*        |         15/2 |       24357.90    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.6p.(1P*<1>)            | (15/2,1)   |         17/2 |       24360.81    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7H).6s                 |            |         15/2 |       24376.91    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (5M).6s                 |            |         19/2 |       24404.19    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         13/2 |       24594.75    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.6p.(1P*<1>)            | (15/2,1)   |         15/2 |       24660.80    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         19/2 |       24678.25    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (5M).6s                 |            |         21/2 |       24714.34    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |         13/2 |       24740.52    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7G).6s                 |            |         13/2 |       24760.13    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3P) (7H).6s                 | 8H         |         17/2 |       24795.58    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |         11/2 |       25261.55    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |         15/2 |       25272.63    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3P) (7K).6s                 | 8K         |         21/2 |       25545.07    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (3M).6s                 |            |         19/2 |       25548.26    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         15/2 |       25591.43    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         11/2 |       25616.46    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | 6L*        |         17/2 |       25660.40    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |          9/2 |       25805.04    |     L3974
                                           |            |              |                   |           
4f10.(5I<4>).5d<5/2>.6s2                   | (4,5/2)    |         13/2 |       25930.66    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7H).6s                 |            |         15/2 |       25967.69    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         21/2 |       25980.35    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         15/2 |       26023.52    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |          9/2 |       26039.99    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         13/2 |       26127.22    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         17/2 |       26143.57    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         15/2 |       26198.39    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         13/2 |       26225.76    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         13/2 |       26288.10    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         11/2 |       26443.11    |     L3974
                                           |            |              |                   |           
4f10.(5I<7>).6s2.6p<3/2>                   | (7,3/2)*   |         15/2 |       26456.72    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         17/2 |       26480.47    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         11/2 |       26529.83    |     L3974
                                           |            |              |                   |           
4f10.(5I<7>).6s2.6p<3/2>                   | (7,3/2)*   |         17/2 |       26637.82    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d2.(3F) (7I).6s                 |            |         17/2 |       26655.52    |     L3974
                                           |            |              |                   |           
4f10.(5I<7>).6s2.6p<3/2>                   | (7,3/2)*   |         11/2 |       26664.67    |     L3974
                                           |            |         13/2 |       26673.72    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         19/2 |       26770.17    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p                         | *          |         15/2 |       26811.32    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         15/2 |       26922.41    |     L3974
                                           |            |              |                   |           
4f11.(4I*<11/2>).6s.6p.(3P*<2>)            | (11/2,2)   |         15/2 |       26957.70    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         13/2 |       26977.37    |     L3974
                                           |            |              |                   |           
4f11.(4I*).5d.6s.(3D)                      | *          |         11/2 |       27049.80    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         21/2 |       27358.81    |     L3974
                                           |            |              |                   |           
4f10.(5I<6>).6s2.6p<1/2>                   | (6,1/2)*   |         13/2 |       27423.79    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       27470.27    |     L3974
                                           |            |              |                   |           
4f10.(5I<6>).6s2.6p<1/2>                   | (6,1/2)*   |         11/2 |       27643.13    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         15/2 |       27649.51    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       27670.98    |     L3974
                                           |            |              |                   |           
