Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s
0.0 0.0 0.0 0.0 0.0 1.17e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.13e-02 1.29e-02 0.0 0.0 1.29e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2.30e-04 3.46e-01 5.20e-03 2.68e-02 6.09e-05 5.23e-01 1.62e-01 3.22e-02 2.29e-03 3.21e-02 1.00e-02 7.99e-03 3.60e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.22e-01 0.0 0.0 0.0 0.0 4.07e-01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 2.50e-07 1.90e-04 2.60e-06 2.00e-05 0.0 3.80e-05 3.09e-01 1.67e-01 3.70e-05 3.10e-04 4.50e-04 1.10e-04 1.70e-03 1.03e-02 5.40e-03 0.0 0.0 5.25e-02 9.49e-03 0.0 8.19e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.00e-05 1.30e-05 0.0 0.0 0.0 1.19e-01 3.95e-01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.00e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2.20e-03 2.50e-04 1.80e-06 0.0 0.0 2.58e-02 1.32e-01 3.23e-01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.70e-13 0.0 2.00e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.40e-04 9.20e-04 2.00e-04 1.60e-07 0.0 1.60e-03 2.11e-02 9.88e-02 2.91e-01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.60e-13 1.20e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 3.50e-07 4.65e-01 2.42e-02 6.81e-02 0.0 4.13e-01 2.69e-01 8.05e-02 1.70e-03 7.51e-04 1.26e-02 5.90e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.16e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 2.30e-05 4.85e-01 1.53e-01 0.0 0.0 3.38e-01 4.68e-01 0.0 1.90e-03 5.64e-03 1.72e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.50e-07 0.0 0.0 0.0 0.0 0.0 9.50e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4.53e-01 6.05e-02 2.60e-07 0.0 0.0 4.71e-01 6.39e-02 7.20e-04 0.0 2.53e-02 3.30e-05 0.0 0.0 3.90e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5.57e-02 2.78e-01 6.51e-02 4.80e-08 0.0 1.48e-01 2.61e-01 9.10e-02 1.60e-05 1.62e-02 1.70e-03 5.20e-05 0.0 1.60e-03 2.50e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.80e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.60e-05 5.32e-02 1.49e-01 4.37e-02 2.00e-06 1.50e-02 2.04e-01 1.67e-01 8.42e-02 4.44e-03 2.40e-02 1.72e-03 5.20e-05 4.66e-04 2.50e-03 1.30e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.00e-14 1.20e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 5.90e-06 2.82e-02 5.77e-02 1.61e-02 0.0 2.66e-02 2.04e-01 2.15e-01 4.60e-06 6.31e-03 2.58e-02 1.60e-02 7.75e-05 1.30e-03 3.10e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.60e-15 4.90e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.50e+00 1.11e+00 7.84e-01 5.02e-01 2.44e-01 0.0 0.0 0.0 0.0 2.30e-04 1.30e-04 4.30e-05 5.50e-06 1.30e-07 7.20e-08 3.60e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2.44e-04 1.00e-04 0.0 0.0 0.0 8.51e-01 1.98e-01 0.0 0.0 1.20e-04 0.0 0.0 0.0 0.0 0.0 0.0 4.10e-04 2.70e-05 0.0 0.0 0.0 0.0 0.0 0.0 2.10e-02 0.0 1.50e-02 2.60e-04 2.90e-09 0.0 0.0 1.24e-02 2.10e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 1.50e-09 4.30e-03 3.10e-06 3.70e-04 0.0 1.70e-03 1.12e-02 4.20e-03 2.10e-05 3.63e-01 1.41e-02 4.10e-02 3.20e-05 9.50e-04 2.80e-04 0.0 0.0 5.99e-03 1.80e-03 0.0 0.0 0.0 4.34e-02 0.0 0.0 0.0 0.0 0.0 1.54e-02 6.69e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.40e-02 2.60e-03 8.10e-05 0.0 0.0 1.56e-01 6.62e-01 3.12e-01 0.0 6.20e-04 1.00e-04 0.0 0.0 6.30e-04 0.0 0.0 8.00e-05 1.30e-04 0.0 0.0 0.0 0.0 0.0 0.0 1.60e-05 0.0 3.10e-03 1.55e-02 9.20e-04 0.0 0.0 2.00e-02 2.20e-03 4.50e-07 1.80e-03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1.70e-03 8.00e-03 2.10e-03 3.50e-05 0.0 8.72e-03 3.05e-01 6.12e-01 3.09e-01 2.60e-03 2.99e-03 1.00e-04 0.0 2.70e-04 5.40e-04 0.0 1.10e-06 1.40e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.30e-05 3.70e-03 2.00e-02 0.0 0.0 3.20e-03 2.34e-02 2.80e-03 5.00e-07 0.0 2.00e-11 0.0 3.10e-04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.80e-07 7.80e-04 2.60e-03 7.86e-04 7.60e-06 2.00e-04 2.84e-02 3.56e-01 8.16e-01 1.66e-05 1.15e-04 1.66e-04 1.40e-04 4.70e-05 2.20e-04 1.20e-04 0.0 0.0 0.0 0.0 0.0 2.00e-05 3.90e-02 0.0 2.20e-05 3.10e-03 3.23e-02 2.60e-02 2.10e-02 7.90e-08 5.50e-13 0.0 0.0 2.23e-02 1.87e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 4.50e-02 2.40e-02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.30e-02 2.80e-04 0.0 0.0 2.60e-03 0.0 1.80e-04 0.0 9.60e-03 0.0 8.20e-04 1.30e-03 3.20e-10 0.0 0.0 1.30e-03 4.80e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
