Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.177207 0.00388837 3.483e-07 0.001495 0.003302 0.0 0.0 5.4252e-06 0.0 0.02637 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0107317 0.107714 0.0132632 0.000304165 0.00056571 0.003242 0.0 5.3503e-06 0.0 0.0 0.02382 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.001838 0.00158765 0.0658535 1.73668e-05 5.721e-06 0.000646878 0.001586 1.615e-07 0.0 0.0 0.0 0.01281 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.01046 0.0165901 5.75762e-05 0.000117865 0.000399525 1.271e-06 0.0 0.0 0.0 0.0 0.0 0.00403 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
112.8 19.4 0.8646 1.324 3.279 0.0 0.0 0.0016651 0.0 0.0672403 0.00752609 0.01209 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
35.31 75.03 24.32 0.636222 1.29423 3.189 0.0 0.001254 0.0 1.301e-07 0.01039 0.0113801 0.02398 0.0 0.0426 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
2.509 43.85 89.02 0.0454196 0.359485 2.554 2.437 0.0002558 0.0 0.0 0.0 0.0005008 0.0112 0.03456 0.0 0.0201 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.1238 0.0481301 0.00540201 0.00052001 0.0022717 0.0009495 0.0 1.1714e-07 0.0 0.06263 0.020369 0.0046578 0.0009715 4.117e-05 0.00034664 0.000536834 7.70363e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.4206 0.1723 0.032082 0.0451563 0.072313 0.122204 0.05118 4.975e-05 0.0 0.0 0.03472 0.0247505 0.0105293 0.00227861 2.952e-06 0.000176681 8.2515e-06 0.001244 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.1316 0.0607201 0.0640024 0.130626 0.056375 0.00135 0.0 6.603e-07 0.0 0.0 0.01829 0.0270473 0.0223967 0.0 0.0 5.2542e-07 0.0 0.003197 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
107.7 4.572 0.0 0.0 0.0 0.0 0.0 0.091334 0.0 0.905589 0.181036 1.717e-06 0.0 0.0 0.0853731 5.223e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
15.45 84.78 5.096 0.5012 0.3397 0.0 0.0 0.308703 0.0 0.0526378 0.511113 0.222527 7.261e-06 0.0 0.113734 0.0014735 4.522e-05 0.0 0.0 0.0 0.003073 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.824204 20.8101 82.3501 0.0952937 0.000863959 0.03054 0.0 0.0093618 0.0 8.919e-07 0.0333766 0.204901 0.156215 1.599e-05 0.00726401 0.0903217 0.0553392 0.0 0.0 0.0 0.0 0.004976 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
361.7 56.44 4.562 4.47669 11.72 24.0706 11.94 0.01662 6.864e-07 0.0 0.002583 0.0598258 0.00769816 0.00700015 0.09987 0.0187701 0.006516 0.0314201 0.0121501 0.00539505 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 73.66 60.64 50.0903 52.6517 23.6902 0.0001213 0.0 0.0002855 0.0 0.0 2.099e-05 0.0257942 0.0148484 0.0 0.05615 0.028146 2.769e-06 0.00323118 0.1174 0.0 0.0 3.357e-07 7.188e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 80.21 30.83 94.24 0.001563 0.0 0.0 0.0 0.0 0.0 0.0 0.0002235 0.000324 0.0 0.0 0.06572 0.0 3.082e-07 0.18 0.0 0.0 0.0 0.0 0.0004001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
3.739 2.84604 2.30203 15.4802 20.1502 28.4504 9.549 0.05826 0.0001769 0.0 0.001668 0.137525 0.0165766 0.0153676 0.02041 0.025406 0.0618025 0.399506 0.205603 0.0398404 0.0 2.434e-06 3.99073e-07 2.73609e-05 0.003718 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 246.6 46.01 0.0842517 0.161223 1.56956 0.0001571 0.0 0.0007792 0.0 0.0 0.002515 0.145908 0.0953392 0.0 0.02783 0.028555 3.557e-06 1.28159e-05 0.2695 0.0 0.0 2.461e-06 0.06757 0.000164019 0.0003324 0.002821 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 348.4 3.184 2.805 2.418e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.001039 0.002136 0.0 0.0 0.05811 0.0 3.826e-06 0.3087 0.0 0.0 0.0 4.431e-07 0.01287 0.0 0.0 0.02627 0.0 0.0 0.0 0.0 0.0 0.0 
1.29647 0.012744 14.68 48.14 9.817 0.0 0.0 33.0701 0.0 0.00182708 0.00417303 0.00195601 0.0 0.0 0.442176 0.255519 2.518e-07 1.0124e-07 0.0 0.0 0.0363602 0.00559002 0.0257001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
