Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
1.46e-04 6.42e-03 2.59e-02 1.44e-02 8.26e-04 1.85e-02 0.0 0.0 2.14e+00 1.00e-01 1.08e-01 5.46e-02 2.42e-01 6.56e-01 0.0 6.82e-02 8.21e-01 0.0 0.0 1.63e-01 9.18e-02 1.25e-02 1.02e-03 7.10e-05 1.58e-02 2.39e-07 1.02e-01 3.16e-08 3.22e-07 0.0 0.0 0.0 1.83e-07 0.0 
1.11e-01 2.45e-02 9.96e-04 0.0 0.0 2.80e-01 2.06e+00 7.83e-02 6.55e-03 0.0 0.0 9.26e-01 2.36e-01 7.42e-03 8.90e-01 1.24e-01 4.79e-03 0.0 7.06e-05 8.24e-04 0.0 1.05e-01 8.78e-03 0.0 2.31e-04 1.72e-08 5.87e-02 0.0 0.0 2.69e-16 0.0 0.0 3.84e-11 0.0 
1.10e-02 6.18e-02 2.44e-02 9.80e-04 0.0 8.46e-02 0.0 2.04e+00 1.51e-01 1.63e-01 0.0 1.56e-01 6.33e-01 2.53e-01 3.46e-02 7.05e-01 1.98e-01 0.0 0.0 4.04e-03 1.14e-03 1.28e-01 6.79e-03 0.0 3.22e-02 2.30e-08 6.26e-03 0.0 6.43e-09 1.63e-05 1.11e-06 0.0 1.43e-08 0.0 
8.46e-05 2.68e-01 1.45e-04 2.31e-02 3.54e-03 5.50e-01 0.0 0.0 3.80e-03 6.56e-01 2.68e-01 1.64e-01 4.95e-02 5.29e-03 0.0 2.16e-03 9.63e-04 5.71e-08 0.0 2.05e-01 6.33e-02 3.34e-01 7.92e-04 1.95e-04 1.36e-01 2.58e-03 3.00e-05 9.16e-09 7.92e-03 0.0 0.0 0.0 0.0 0.0 
4.43e-04 9.85e-05 1.03e-05 0.0 0.0 2.51e-03 8.59e-04 7.63e-02 6.45e-02 0.0 0.0 1.20e-01 4.48e-02 9.47e-04 1.82e-01 1.88e-02 1.83e-01 0.0 2.10e+00 9.41e-04 0.0 2.07e-03 2.21e-01 0.0 3.12e-02 1.53e-09 6.43e-02 0.0 0.0 2.53e-07 2.64e-02 1.53e-02 2.57e-06 0.0 
*** Fe III transition probabilities
*** ATOM iron
*** SPECTRUM 3
*** N_LEVELS 34
*** GSCONFIG d6
*** SOURCE1 Quinet, P. 1996, A&AS, 116, 573
*** NOTE A-values revised by C. Mendoza et al. 2023, Atoms
*** VACUUM 1
